InitTemp,CoolingRate,MarkovLength,Steps,CostFunction
1,0.25,10,5380,2
1,0.25,25,3275,0
1,0.25,50,7533,0
1,0.25,100,12084,0
1,0.5,10,2881,0
1,0.5,25,2129,0
1,0.5,50,19934,0
1,0.5,100,3326,0
1,0.75,10,100000,2
1,0.75,25,9721,0
1,0.75,50,2728,0
1,0.75,100,2585,0
1,0.9,10,100000,2
1,0.9,25,13202,0
1,0.9,50,4798,0
1,0.9,100,100000,2
1,0.99,10,100000,2
1,0.99,25,100000,3
1,0.99,50,7434,0
1,0.99,100,13720,0
2.5,0.25,10,5380,2
2.5,0.25,25,13450,4
2.5,0.25,50,15071,0
2.5,0.25,100,7982,0
2.5,0.5,10,2362,0
2.5,0.5,25,1819,0
2.5,0.5,50,53800,2
2.5,0.5,100,100000,3
2.5,0.75,10,15088,0
2.5,0.75,25,6299,0
2.5,0.75,50,7238,0
2.5,0.75,100,100000,2
2.5,0.9,10,12355,0
2.5,0.9,25,3664,0
2.5,0.9,50,100000,4
2.5,0.9,100,100000,3
2.5,0.99,10,4132,0
2.5,0.99,25,40506,0
2.5,0.99,50,27112,0
2.5,0.99,100,20897,0
5,0.25,10,5390,2
5,0.25,25,13475,3
5,0.25,50,6265,0
5,0.25,100,3470,0
5,0.5,10,2475,0
5,0.5,25,26925,2
5,0.5,50,1461,0
5,0.5,100,11909,0
5,0.75,10,100000,2
5,0.75,25,100000,2
5,0.75,50,13707,0
5,0.75,100,100000,2
5,0.9,10,100000,2
5,0.9,25,9102,0
5,0.9,50,22717,0
5,0.9,100,7058,0
5,0.99,10,21703,0
5,0.99,25,10989,0
5,0.99,50,14130,0
5,0.99,100,44664,0
10,0.25,10,5390,6
10,0.25,25,13475,2
10,0.25,50,26950,4
10,0.25,100,7545,0
10,0.5,10,2982,0
10,0.5,25,26950,2
10,0.5,50,8369,0
10,0.5,100,19886,0
10,0.75,10,100000,2
10,0.75,25,100000,3
10,0.75,50,8821,0
10,0.75,100,7337,0
10,0.9,10,100000,2
10,0.9,25,4546,0
10,0.9,50,6317,0
10,0.9,100,24978,0
10,0.99,10,7435,0
10,0.99,25,13771,0
10,0.99,50,42759,0
10,0.99,100,100000,2
25,0.25,10,2916,0
25,0.25,25,13500,3
25,0.25,50,18018,0
25,0.25,100,5714,0
25,0.5,10,5523,0
25,0.5,25,2093,0
25,0.5,50,26745,0
25,0.5,100,9266,0
25,0.75,10,1843,0
25,0.75,25,2554,0
25,0.75,50,5656,0
25,0.75,100,8498,0
25,0.9,10,100000,3
25,0.9,25,8701,0
25,0.9,50,28854,0
25,0.9,100,11663,0
25,0.99,10,23680,0
25,0.99,25,29069,0
25,0.99,50,28654,0
25,0.99,100,78542,0
