InitTemp,CoolingRate,MarkovLength,Steps,CostFunction
1,0.25,10,3019,0
1,0.25,25,5965,0
1,0.25,50,6217,0
1,0.25,100,53800,2
1,0.5,10,2404,0
1,0.5,25,9468,0
1,0.5,50,9378,0
1,0.5,100,4384,0
1,0.75,10,4762,0
1,0.75,25,11281,0
1,0.75,50,6109,0
1,0.75,100,100000,3
1,0.9,10,3513,0
1,0.9,25,2355,0
1,0.9,50,100000,2
1,0.9,100,12300,0
1,0.99,10,5278,0
1,0.99,25,61713,0
1,0.99,50,6949,0
1,0.99,100,58460,0
2.5,0.25,10,5380,2
2.5,0.25,25,6572,0
2.5,0.25,50,17567,0
2.5,0.25,100,3913,0
2.5,0.5,10,10760,2
2.5,0.5,25,26900,2
2.5,0.5,50,53800,2
2.5,0.5,100,9843,0
2.5,0.75,10,12077,0
2.5,0.75,25,100000,2
2.5,0.75,50,2489,0
2.5,0.75,100,100000,2
2.5,0.9,10,100000,2
2.5,0.9,25,100000,2
2.5,0.9,50,9544,0
2.5,0.9,100,100000,4
2.5,0.99,10,100000,2
2.5,0.99,25,100000,2
2.5,0.99,50,65500,0
2.5,0.99,100,21168,0
5,0.25,10,5390,2
5,0.25,25,9672,0
5,0.25,50,6815,0
5,0.25,100,2907,0
5,0.5,10,6334,0
5,0.5,25,24432,0
5,0.5,50,2075,0
5,0.5,100,2581,0
5,0.75,10,100000,2
5,0.75,25,100000,2
5,0.75,50,11691,0
5,0.75,100,100000,3
5,0.9,10,100000,3
5,0.9,25,6387,0
5,0.9,50,8019,0
5,0.9,100,100000,2
5,0.99,10,7168,0
5,0.99,25,16330,0
5,0.99,50,100000,2
5,0.99,100,28927,0
10,0.25,10,4357,0
10,0.25,25,1158,0
10,0.25,50,7572,0
10,0.25,100,10151,0
10,0.5,10,10780,2
10,0.5,25,13619,0
10,0.5,50,5111,0
10,0.5,100,3513,0
10,0.75,10,10323,0
10,0.75,25,8926,0
10,0.75,50,100000,2
10,0.75,100,3160,0
10,0.9,10,100000,3
10,0.9,25,5489,0
10,0.9,50,4985,0
10,0.9,100,7572,0
10,0.99,10,100000,2
10,0.99,25,13252,0
10,0.99,50,38399,0
10,0.99,100,37954,0
25,0.25,10,5400,2
25,0.25,25,13500,3
25,0.25,50,2143,0
25,0.25,100,54000,3
25,0.5,10,3191,0
25,0.5,25,8046,0
25,0.5,50,54000,2
25,0.5,100,100000,2
25,0.75,10,8363,0
25,0.75,25,100000,2
25,0.75,50,12331,0
25,0.75,100,100000,2
25,0.9,10,100000,2
25,0.9,25,100000,2
25,0.9,50,3805,0
25,0.9,100,9083,0
25,0.99,10,21747,0
25,0.99,25,100000,2
25,0.99,50,100000,2
25,0.99,100,43014,0
