InitTemp,CoolingRate,MarkovLength,Steps,CostFunction
1,0.25,10,5380,2
1,0.25,25,8849,0
1,0.25,50,26900,2
1,0.25,100,53800,2
1,0.5,10,10750,2
1,0.5,25,4675,0
1,0.5,50,5552,0
1,0.5,100,2485,0
1,0.75,10,2891,0
1,0.75,25,14975,0
1,0.75,50,5956,0
1,0.75,100,100000,2
1,0.9,10,5855,0
1,0.9,25,3095,0
1,0.9,50,2202,0
1,0.9,100,8401,0
1,0.99,10,100000,2
1,0.99,25,4793,0
1,0.99,50,16067,0
1,0.99,100,12938,0
2.5,0.25,10,5380,3
2.5,0.25,25,13450,4
2.5,0.25,50,5151,0
2.5,0.25,100,53800,2
2.5,0.5,10,7982,0
2.5,0.5,25,2253,0
2.5,0.5,50,53800,5
2.5,0.5,100,100000,2
2.5,0.75,10,7108,0
2.5,0.75,25,9737,0
2.5,0.75,50,6183,0
2.5,0.75,100,6824,0
2.5,0.9,10,7499,0
2.5,0.9,25,40604,0
2.5,0.9,50,24650,0
2.5,0.9,100,9231,0
2.5,0.99,10,12154,0
2.5,0.99,25,100000,3
2.5,0.99,50,11367,0
2.5,0.99,100,27784,0
5,0.25,10,5390,2
5,0.25,25,13475,2
5,0.25,50,3187,0
5,0.25,100,18146,0
5,0.5,10,6548,0
5,0.5,25,26925,2
5,0.5,50,53850,2
5,0.5,100,20951,0
5,0.75,10,100000,2
5,0.75,25,4631,0
5,0.75,50,10438,0
5,0.75,100,9354,0
5,0.9,10,2532,0
5,0.9,25,2474,0
5,0.9,50,22297,0
5,0.9,100,4608,0
5,0.99,10,23066,0
5,0.99,25,16882,0
5,0.99,50,100000,2
5,0.99,100,100000,2
10,0.25,10,5390,4
10,0.25,25,7501,0
10,0.25,50,4683,0
10,0.25,100,8048,0
10,0.5,10,10780,2
10,0.5,25,26950,2
10,0.5,50,8779,0
10,0.5,100,100000,4
10,0.75,10,21662,0
10,0.75,25,100000,5
10,0.75,50,5952,0
10,0.75,100,11273,0
10,0.9,10,16825,0
10,0.9,25,100000,2
10,0.9,50,15364,0
10,0.9,100,100000,2
10,0.99,10,100000,2
10,0.99,25,9843,0
10,0.99,50,19870,0
10,0.99,100,39625,0
25,0.25,10,5400,4
25,0.25,25,4030,0
25,0.25,50,16626,0
25,0.25,100,6065,0
25,0.5,10,10800,2
25,0.5,25,27000,3
25,0.5,50,2888,0
25,0.5,100,1327,0
25,0.75,10,21176,0
25,0.75,25,100000,2
25,0.75,50,17493,0
25,0.75,100,100000,2
25,0.9,10,3673,0
25,0.9,25,22284,0
25,0.9,50,100000,2
25,0.9,100,100000,3
25,0.99,10,11848,0
25,0.99,25,17468,0
25,0.99,50,38149,0
25,0.99,100,100000,2
