InitTemp,CoolingRate,MarkovLength,Steps,CostFunction
1,0.25,10,5380,2
1,0.25,25,13450,2
1,0.25,50,9246,0
1,0.25,100,53800,5
1,0.5,10,4172,0
1,0.5,25,26875,2
1,0.5,50,3865,0
1,0.5,100,100000,3
1,0.75,10,100000,2
1,0.75,25,100000,2
1,0.75,50,17133,0
1,0.75,100,4674,0
1,0.9,10,3608,0
1,0.9,25,14652,0
1,0.9,50,16271,0
1,0.9,100,100000,2
1,0.99,10,5471,0
1,0.99,25,5614,0
1,0.99,50,10558,0
1,0.99,100,10748,0
2.5,0.25,10,5380,2
2.5,0.25,25,13450,2
2.5,0.25,50,26900,2
2.5,0.25,100,53800,2
2.5,0.5,10,10760,2
2.5,0.5,25,26900,3
2.5,0.5,50,5817,0
2.5,0.5,100,100000,2
2.5,0.75,10,4292,0
2.5,0.75,25,2525,0
2.5,0.75,50,100000,2
2.5,0.75,100,3144,0
2.5,0.9,10,3181,0
2.5,0.9,25,2200,0
2.5,0.9,50,12181,0
2.5,0.9,100,2599,0
2.5,0.99,10,17618,0
2.5,0.99,25,12144,0
2.5,0.99,50,31567,0
2.5,0.99,100,20703,0
5,0.25,10,5390,2
5,0.25,25,10595,0
5,0.25,50,17434,0
5,0.25,100,53900,2
5,0.5,10,10770,2
5,0.5,25,7989,0
5,0.5,50,53850,2
5,0.5,100,15892,0
5,0.75,10,17613,0
5,0.75,25,19675,0
5,0.75,50,20802,0
5,0.75,100,2979,0
5,0.9,10,100000,5
5,0.9,25,5259,0
5,0.9,50,100000,2
5,0.9,100,30849,0
5,0.99,10,10047,0
5,0.99,25,11466,0
5,0.99,50,100000,2
5,0.99,100,100000,2
10,0.25,10,3420,0
10,0.25,25,13475,2
10,0.25,50,5852,0
10,0.25,100,5714,0
10,0.5,10,7916,0
10,0.5,25,20181,0
10,0.5,50,8453,0
10,0.5,100,2522,0
10,0.75,10,3482,0
10,0.75,25,13991,0
10,0.75,50,9701,0
10,0.75,100,4820,0
10,0.9,10,2338,0
10,0.9,25,5314,0
10,0.9,50,4350,0
10,0.9,100,9272,0
10,0.99,10,6134,0
10,0.99,25,37926,0
10,0.99,50,20983,0
10,0.99,100,48852,0
25,0.25,10,4405,0
25,0.25,25,4640,0
25,0.25,50,27000,2
25,0.25,100,3599,0
25,0.5,10,4359,0
25,0.5,25,3949,0
25,0.5,50,20180,0
25,0.5,100,8754,0
25,0.75,10,100000,2
25,0.75,25,100000,3
25,0.75,50,4622,0
25,0.75,100,12365,0
25,0.9,10,17216,0
25,0.9,25,4174,0
25,0.9,50,100000,2
25,0.9,100,100000,2
25,0.99,10,7856,0
25,0.99,25,100000,2
25,0.99,50,25852,0
25,0.99,100,44887,0
