InitTemp,CoolingRate,MarkovLength,Steps,CostFunction
1,0.25,10,3109,0
1,0.25,25,13450,3
1,0.25,50,15608,0
1,0.25,100,53800,3
1,0.5,10,3721,0
1,0.5,25,18371,0
1,0.5,50,8797,0
1,0.5,100,100000,2
1,0.75,10,14120,0
1,0.75,25,3874,0
1,0.75,50,3475,0
1,0.75,100,5028,0
1,0.9,10,12670,0
1,0.9,25,3282,0
1,0.9,50,43685,0
1,0.9,100,8842,0
1,0.99,10,100000,2
1,0.99,25,100000,2
1,0.99,50,12579,0
1,0.99,100,11627,0
2.5,0.25,10,2390,0
2.5,0.25,25,13450,2
2.5,0.25,50,10214,0
2.5,0.25,100,3113,0
2.5,0.5,10,10760,3
2.5,0.5,25,3803,0
2.5,0.5,50,6905,0
2.5,0.5,100,100000,2
2.5,0.75,10,3291,0
2.5,0.75,25,10938,0
2.5,0.75,50,13874,0
2.5,0.75,100,11645,0
2.5,0.9,10,4122,0
2.5,0.9,25,100000,3
2.5,0.9,50,8050,0
2.5,0.9,100,19783,0
2.5,0.99,10,6706,0
2.5,0.99,25,28898,0
2.5,0.99,50,13691,0
2.5,0.99,100,24032,0
5,0.25,10,5390,2
5,0.25,25,4347,0
5,0.25,50,9559,0
5,0.25,100,1305,0
5,0.5,10,10770,2
5,0.5,25,26925,2
5,0.5,50,8329,0
5,0.5,100,14758,0
5,0.75,10,4958,0
5,0.75,25,5140,0
5,0.75,50,7791,0
5,0.75,100,2815,0
5,0.9,10,100000,3
5,0.9,25,5299,0
5,0.9,50,2483,0
5,0.9,100,100000,3
5,0.99,10,100000,3
5,0.99,25,20143,0
5,0.99,50,17191,0
5,0.99,100,28675,0
10,0.25,10,1874,0
10,0.25,25,13475,3
10,0.25,50,26950,2
10,0.25,100,53900,2
10,0.5,10,5490,0
10,0.5,25,5141,0
10,0.5,50,3861,0
10,0.5,100,4129,0
10,0.75,10,5802,0
10,0.75,25,100000,3
10,0.75,50,100000,2
10,0.75,100,9230,0
10,0.9,10,1576,0
10,0.9,25,4265,0
10,0.9,50,100000,2
10,0.9,100,13162,0
10,0.99,10,7490,0
10,0.99,25,25597,0
10,0.99,50,20937,0
10,0.99,100,33602,0
25,0.25,10,927,0
25,0.25,25,6260,0
25,0.25,50,11937,0
25,0.25,100,54000,2
25,0.5,10,10800,2
25,0.5,25,23677,0
25,0.5,50,2812,0
25,0.5,100,2563,0
25,0.75,10,13187,0
25,0.75,25,7186,0
25,0.75,50,3864,0
25,0.75,100,5965,0
25,0.9,10,4604,0
25,0.9,25,11136,0
25,0.9,50,3603,0
25,0.9,100,17433,0
25,0.99,10,100000,2
25,0.99,25,14365,0
25,0.99,50,22001,0
25,0.99,100,42637,0
