InitTemp,CoolingRate,MarkovLength,Steps,CostFunction
1,0.25,10,5380,4
1,0.25,25,3473,0
1,0.25,50,26900,2
1,0.25,100,53800,2
1,0.5,10,9592,0
1,0.5,25,1978,0
1,0.5,50,4857,0
1,0.5,100,100000,3
1,0.75,10,9859,0
1,0.75,25,100000,3
1,0.75,50,2645,0
1,0.75,100,100000,3
1,0.9,10,4811,0
1,0.9,25,100000,3
1,0.9,50,12079,0
1,0.9,100,3067,0
1,0.99,10,6536,0
1,0.99,25,5735,0
1,0.99,50,100000,3
1,0.99,100,100000,2
2.5,0.25,10,5380,3
2.5,0.25,25,9236,0
2.5,0.25,50,4865,0
2.5,0.25,100,5617,0
2.5,0.5,10,3190,0
2.5,0.5,25,26900,2
2.5,0.5,50,7163,0
2.5,0.5,100,9263,0
2.5,0.75,10,100000,2
2.5,0.75,25,6843,0
2.5,0.75,50,100000,2
2.5,0.75,100,100000,3
2.5,0.9,10,100000,3
2.5,0.9,25,5678,0
2.5,0.9,50,7766,0
2.5,0.9,100,5013,0
2.5,0.99,10,100000,3
2.5,0.99,25,12654,0
2.5,0.99,50,10963,0
2.5,0.99,100,18438,0
5,0.25,10,1290,0
5,0.25,25,13475,2
5,0.25,50,11795,0
5,0.25,100,53900,2
5,0.5,10,10770,4
5,0.5,25,12245,0
5,0.5,50,53850,2
5,0.5,100,33355,0
5,0.75,10,12996,0
5,0.75,25,27023,0
5,0.75,50,8940,0
5,0.75,100,100000,3
5,0.9,10,9038,0
5,0.9,25,3696,0
5,0.9,50,100000,3
5,0.9,100,18273,0
5,0.99,10,9198,0
5,0.99,25,15796,0
5,0.99,50,17229,0
5,0.99,100,24930,0
10,0.25,10,5390,4
10,0.25,25,13475,4
10,0.25,50,4371,0
10,0.25,100,4994,0
10,0.5,10,4566,0
10,0.5,25,4561,0
10,0.5,50,8580,0
10,0.5,100,12811,0
10,0.75,10,2571,0
10,0.75,25,100000,2
10,0.75,50,100000,2
10,0.75,100,100000,2
10,0.9,10,6305,0
10,0.9,25,38412,0
10,0.9,50,8479,0
10,0.9,100,10775,0
10,0.99,10,7734,0
10,0.99,25,11603,0
10,0.99,50,24713,0
10,0.99,100,31952,0
25,0.25,10,4833,0
25,0.25,25,3238,0
25,0.25,50,1643,0
25,0.25,100,54000,2
25,0.5,10,10800,2
25,0.5,25,5679,0
25,0.5,50,54000,2
25,0.5,100,100000,2
25,0.75,10,6142,0
25,0.75,25,3218,0
25,0.75,50,100000,2
25,0.75,100,12644,0
25,0.9,10,21170,0
25,0.9,25,5115,0
25,0.9,50,9479,0
25,0.9,100,100000,2
25,0.99,10,9782,0
25,0.99,25,26868,0
25,0.99,50,31172,0
25,0.99,100,42152,0
