InitTemp,CoolingRate,MarkovLength,Steps,CostFunction
1,0.25,10,5380,2
1,0.25,25,13450,2
1,0.25,50,15020,0
1,0.25,100,53800,2
1,0.5,10,8632,0
1,0.5,25,3050,0
1,0.5,50,38411,0
1,0.5,100,5091,0
1,0.75,10,11879,0
1,0.75,25,100000,2
1,0.75,50,5725,0
1,0.75,100,100000,2
1,0.9,10,11620,0
1,0.9,25,12541,0
1,0.9,50,7888,0
1,0.9,100,4485,0
1,0.99,10,13480,0
1,0.99,25,11199,0
1,0.99,50,15183,0
1,0.99,100,18087,0
2.5,0.25,10,5380,2
2.5,0.25,25,13450,3
2.5,0.25,50,8173,0
2.5,0.25,100,11297,0
2.5,0.5,10,3754,0
2.5,0.5,25,7388,0
2.5,0.5,50,53800,2
2.5,0.5,100,100000,4
2.5,0.75,10,100000,3
2.5,0.75,25,100000,2
2.5,0.75,50,14083,0
2.5,0.75,100,100000,2
2.5,0.9,10,100000,3
2.5,0.9,25,100000,2
2.5,0.9,50,6785,0
2.5,0.9,100,100000,2
2.5,0.99,10,9184,0
2.5,0.99,25,7712,0
2.5,0.99,50,17373,0
2.5,0.99,100,23922,0
5,0.25,10,5390,3
5,0.25,25,13475,3
5,0.25,50,6712,0
5,0.25,100,2761,0
5,0.5,10,10770,2
5,0.5,25,15462,0
5,0.5,50,3256,0
5,0.5,100,4423,0
5,0.75,10,6330,0
5,0.75,25,2721,0
5,0.75,50,9092,0
5,0.75,100,4703,0
5,0.9,10,4085,0
5,0.9,25,100000,2
5,0.9,50,8396,0
5,0.9,100,100000,2
5,0.99,10,7355,0
5,0.99,25,7796,0
5,0.99,50,27428,0
5,0.99,100,27674,0
10,0.25,10,5390,2
10,0.25,25,13475,2
10,0.25,50,26950,2
10,0.25,100,53900,2
10,0.5,10,3187,0
10,0.5,25,11932,0
10,0.5,50,5665,0
10,0.5,100,3672,0
10,0.75,10,100000,2
10,0.75,25,54877,0
10,0.75,50,8066,0
10,0.75,100,7870,0
10,0.9,10,1112,0
10,0.9,25,2670,0
10,0.9,50,100000,2
10,0.9,100,5945,0
10,0.99,10,13636,0
10,0.99,25,12961,0
10,0.99,50,20993,0
10,0.99,100,100000,2
25,0.25,10,5400,2
25,0.25,25,13500,2
25,0.25,50,2962,0
25,0.25,100,30928,0
25,0.5,10,10800,2
25,0.5,25,27000,2
25,0.5,50,2569,0
25,0.5,100,12180,0
25,0.75,10,4710,0
25,0.75,25,10160,0
25,0.75,50,5665,0
25,0.75,100,6106,0
25,0.9,10,100000,3
25,0.9,25,9008,0
25,0.9,50,8372,0
25,0.9,100,7778,0
25,0.99,10,9226,0
25,0.99,25,19278,0
25,0.99,50,100000,2
25,0.99,100,44061,0
