InitTemp,CoolingRate,MarkovLength,Steps,CostFunction
1,0.25,10,5380,2
1,0.25,25,13450,2
1,0.25,50,1889,0
1,0.25,100,2713,0
1,0.5,10,3371,0
1,0.5,25,4935,0
1,0.5,50,6713,0
1,0.5,100,6984,0
1,0.75,10,2708,0
1,0.75,25,11660,0
1,0.75,50,3635,0
1,0.75,100,3933,0
1,0.9,10,3987,0
1,0.9,25,1489,0
1,0.9,50,6007,0
1,0.9,100,5790,0
1,0.99,10,5216,0
1,0.99,25,4733,0
1,0.99,50,11219,0
1,0.99,100,12128,0
2.5,0.25,10,5380,2
2.5,0.25,25,4852,0
2.5,0.25,50,26900,2
2.5,0.25,100,53800,4
2.5,0.5,10,8032,0
2.5,0.5,25,3221,0
2.5,0.5,50,53800,2
2.5,0.5,100,100000,2
2.5,0.75,10,100000,3
2.5,0.75,25,3662,0
2.5,0.75,50,100000,2
2.5,0.75,100,4375,0
2.5,0.9,10,100000,2
2.5,0.9,25,7312,0
2.5,0.9,50,13641,0
2.5,0.9,100,4271,0
2.5,0.99,10,8639,0
2.5,0.99,25,7869,0
2.5,0.99,50,100000,2
2.5,0.99,100,22737,0
5,0.25,10,4287,0
5,0.25,25,2455,0
5,0.25,50,14171,0
5,0.25,100,3168,0
5,0.5,10,10770,2
5,0.5,25,26925,2
5,0.5,50,53850,5
5,0.5,100,100000,3
5,0.75,10,100000,2
5,0.75,25,13417,0
5,0.75,50,3525,0
5,0.75,100,4325,0
5,0.9,10,2300,0
5,0.9,25,100000,2
5,0.9,50,9634,0
5,0.9,100,100000,2
5,0.99,10,5800,0
5,0.99,25,12517,0
5,0.99,50,100000,2
5,0.99,100,26780,0
10,0.25,10,5390,2
10,0.25,25,6180,0
10,0.25,50,12793,0
10,0.25,100,53900,2
10,0.5,10,3209,0
10,0.5,25,3136,0
10,0.5,50,1738,0
10,0.5,100,8104,0
10,0.75,10,100000,2
10,0.75,25,4077,0
10,0.75,50,4139,0
10,0.75,100,9436,0
10,0.9,10,7357,0
10,0.9,25,3765,0
10,0.9,50,14234,0
10,0.9,100,19490,0
10,0.99,10,6662,0
10,0.99,25,12103,0
10,0.99,50,40044,0
10,0.99,100,41745,0
25,0.25,10,5400,2
25,0.25,25,13500,2
25,0.25,50,11846,0
25,0.25,100,48004,0
25,0.5,10,6448,0
25,0.5,25,3397,0
25,0.5,50,7156,0
25,0.5,100,3046,0
25,0.75,10,8964,0
25,0.75,25,32588,0
25,0.75,50,7937,0
25,0.75,100,10839,0
25,0.9,10,5333,0
25,0.9,25,100000,2
25,0.9,50,11713,0
25,0.9,100,8030,0
25,0.99,10,11468,0
25,0.99,25,100000,2
25,0.99,50,22941,0
25,0.99,100,46285,0
