InitTemp,CoolingRate,MarkovLength,Steps,CostFunction
1,0.25,10,4170,0
1,0.25,25,13450,2
1,0.25,50,8256,0
1,0.25,100,53800,2
1,0.5,10,3883,0
1,0.5,25,6099,0
1,0.5,50,15340,0
1,0.5,100,1053,0
1,0.75,10,100000,2
1,0.75,25,5634,0
1,0.75,50,13849,0
1,0.75,100,7393,0
1,0.9,10,4784,0
1,0.9,25,9361,0
1,0.9,50,7242,0
1,0.9,100,9329,0
1,0.99,10,3609,0
1,0.99,25,100000,2
1,0.99,50,14241,0
1,0.99,100,13345,0
2.5,0.25,10,2780,0
2.5,0.25,25,13450,3
2.5,0.25,50,6007,0
2.5,0.25,100,16909,0
2.5,0.5,10,10760,2
2.5,0.5,25,26900,4
2.5,0.5,50,2608,0
2.5,0.5,100,47088,0
2.5,0.75,10,100000,5
2.5,0.75,25,100000,2
2.5,0.75,50,72400,0
2.5,0.75,100,100000,3
2.5,0.9,10,10653,0
2.5,0.9,25,100000,2
2.5,0.9,50,9462,0
2.5,0.9,100,100000,2
2.5,0.99,10,8183,0
2.5,0.99,25,100000,2
2.5,0.99,50,19361,0
2.5,0.99,100,19624,0
5,0.25,10,5390,2
5,0.25,25,5473,0
5,0.25,50,26950,2
5,0.25,100,8418,0
5,0.5,10,10770,2
5,0.5,25,1315,0
5,0.5,50,2305,0
5,0.5,100,2912,0
5,0.75,10,100000,2
5,0.75,25,8081,0
5,0.75,50,18038,0
5,0.75,100,100000,3
5,0.9,10,1987,0
5,0.9,25,100000,2
5,0.9,50,100000,2
5,0.9,100,5220,0
5,0.99,10,6516,0
5,0.99,25,15403,0
5,0.99,50,17984,0
5,0.99,100,31438,0
10,0.25,10,5390,2
10,0.25,25,6717,0
10,0.25,50,26950,3
10,0.25,100,11897,0
10,0.5,10,10780,2
10,0.5,25,2335,0
10,0.5,50,9016,0
10,0.5,100,13346,0
10,0.75,10,2613,0
10,0.75,25,28353,0
10,0.75,50,100000,2
10,0.75,100,100000,4
10,0.9,10,100000,2
10,0.9,25,100000,2
10,0.9,50,6707,0
10,0.9,100,100000,3
10,0.99,10,7966,0
10,0.99,25,10923,0
10,0.99,50,15080,0
10,0.99,100,41117,0
25,0.25,10,5400,2
25,0.25,25,13500,3
25,0.25,50,2362,0
25,0.25,100,11141,0
25,0.5,10,10800,2
25,0.5,25,4046,0
25,0.5,50,3539,0
25,0.5,100,100000,3
25,0.75,10,2615,0
25,0.75,25,7196,0
25,0.75,50,100000,2
25,0.75,100,11694,0
25,0.9,10,3228,0
25,0.9,25,6474,0
25,0.9,50,4089,0
25,0.9,100,100000,2
25,0.99,10,5644,0
25,0.99,25,100000,2
25,0.99,50,22551,0
25,0.99,100,50979,0
