Step,AveragePressure,MuExcess
901,0.641074,-1.97149
902,0.650646,-3.12624
903,0.690543,-2.37964
904,0.607998,-3.67927
905,0.559469,-2.60931
906,0.534536,-1.86845
907,0.53605,-2.18016
908,0.559082,-2.86185
909,0.52479,-2.34892
910,0.48999,-3.15027
911,0.468709,-3.36723
912,0.51587,-2.51197
913,0.50995,-3.2613
914,0.487447,-2.89442
915,0.557032,-2.88558
916,0.628665,-2.11154
917,0.583658,-2.43356
918,0.608865,-2.70439
919,0.500791,-2.54929
920,0.546765,-2.51726
921,0.557451,-2.43455
922,0.512843,-2.62244
923,0.568875,-3.43742
924,0.512617,-2.78807
925,0.544445,-2.60257
926,0.501054,-4.52683
927,0.552234,-2.99773
928,0.564853,-4.16666
929,0.520775,-2.97044
930,0.577621,-2.43857
931,0.513369,-3.1432
932,0.470046,-2.3095
933,0.599657,-2.51058
934,0.599584,-3.7289
935,0.644793,-3.35056
936,0.626361,-2.40061
937,0.597971,-2.72951
938,0.639553,-3.47482
939,0.642112,-3.06091
940,0.568706,-2.90561
941,0.590495,-2.68675
942,0.485912,-2.59288
943,0.511726,-2.86138
944,0.551383,-2.47142
945,0.590125,-3.08419
946,0.581702,-1.86191
947,0.529102,-2.32968
948,0.506835,-2.96434
949,0.529152,-2.25243
950,0.59239,-2.6413
951,0.520077,-2.45312
952,0.571748,-2.43719
953,0.601472,-2.65491
954,0.590224,-2.40559
955,0.543704,-3.34489
956,0.49963,-3.01813
957,0.55079,-2.71188
958,0.60797,-1.99299
959,0.51277,-1.95952
960,0.552255,-2.11376
961,0.468788,-2.43068
962,0.473462,-2.85579
963,0.498412,-2.68058
964,0.452016,-3.14475
965,0.529737,-2.57322
966,0.494485,-3.2609
967,0.466499,-3.00198
968,0.546884,-2.12517
969,0.470392,-2.4041
970,0.503298,-2.69058
971,0.55805,-2.34574
972,0.52154,-1.69388
973,0.566355,-2.00475
974,0.469624,-3.02884
975,0.495292,-1.69657
976,0.482798,-3.10459
977,0.544527,-2.14181
978,0.55261,-2.64973
979,0.580751,-2.41594
980,0.605862,-3.37746
981,0.505619,-2.67855
982,0.454081,-2.35077
983,0.466596,-2.33203
984,0.534478,-1.77703
985,0.536719,-2.87977
986,0.508232,-2.35864
987,0.564114,-3.4244
988,0.522275,-3.7142
989,0.509823,-2.67275
990,0.576376,-2.26349
991,0.542137,-3.01358
992,0.536523,-2.41728
993,0.479051,-2.30194
994,0.563696,-2.18743
995,0.599827,-2.45706
996,0.592898,-2.77403
997,0.58325,-2.45208
998,0.570343,-2.18692
999,0.624173,-2.43004
