Step,AveragePressure,MuExcess
901,0.333249,-2.47408
902,0.307519,-3.00264
903,0.345454,-2.06335
904,0.140279,-2.64412
905,0.158478,-2.75748
906,0.26172,-3.4678
907,0.338088,-2.77567
908,0.270205,-2.22283
909,0.320235,-2.11024
910,0.256588,-2.10002
911,0.182773,-3.16079
912,0.207637,-3.02865
913,0.186176,-2.98691
914,0.180743,-3.17369
915,0.173469,-3.37473
916,0.258929,-2.79554
917,0.165681,-3.09383
918,0.174479,-2.75226
919,0.183022,-2.5874
920,0.204647,-2.28747
921,0.188369,-3.05678
922,0.268029,-2.97496
923,0.226623,-2.84863
924,0.284814,-2.28614
925,0.298875,-2.19929
926,0.219042,-2.92315
927,0.159841,-2.57085
928,0.143477,-2.82227
929,0.129123,-2.62143
930,0.165764,-2.85082
931,0.311171,-3.0684
932,0.266706,-3.01615
933,0.230277,-1.90202
934,0.255091,-2.65941
935,0.25039,-2.45296
936,0.213704,-2.80197
937,0.308681,-2.02843
938,0.307438,-2.89686
939,0.3413,-2.25526
940,0.270159,-2.9095
941,0.171817,-2.88534
942,0.233216,-2.32327
943,0.237767,-2.31447
944,0.244348,-2.96448
945,0.181025,-2.36806
946,0.240855,-1.78369
947,0.187185,-2.55907
948,0.202474,-2.72426
949,0.213814,-2.64201
950,0.208394,-1.98143
951,0.204798,-2.42527
952,0.194633,-3.35137
953,0.188683,-2.21602
954,0.145722,-2.42908
955,0.212035,-2.15014
956,0.15534,-2.38602
957,0.159194,-2.47374
958,0.226174,-2.98938
959,0.262598,-2.95074
960,0.222325,-2.55513
961,0.174499,-2.83935
962,0.148338,-3.19012
963,0.191327,-2.06037
964,0.200668,-3.26975
965,0.232212,-2.2652
966,0.200322,-1.97491
967,0.19275,-3.26264
968,0.141377,-2.37983
969,0.158641,-2.16559
970,0.154362,-2.6867
971,0.16803,-2.41445
972,0.251488,-2.64269
973,0.255541,-2.11049
974,0.217367,-2.48256
975,0.149544,-2.25036
976,0.242275,-2.88641
977,0.189003,-2.56885
978,0.218724,-1.65831
979,0.174027,-2.89236
980,0.167154,-2.59961
981,0.185293,-3.64255
982,0.197713,-2.5956
983,0.202723,-3.14105
984,0.233308,-2.46848
985,0.297816,-2.51949
986,0.312502,-2.39342
987,0.27838,-2.4371
988,0.451131,-2.19133
989,0.422386,-2.54531
990,0.379906,-2.77734
991,0.284017,-3.46235
992,0.280774,-2.44274
993,0.314787,-2.80818
994,0.249133,-2.63052
995,0.393189,-2.70806
996,0.444512,-2.73465
997,0.302961,-2.72928
998,0.22799,-2.52554
999,0.236483,-3.05031
