Step,AveragePressure,MuExcess
901,1.02889,-2.10897
902,1.10508,-1.95137
903,1.10919,-2.10579
904,1.06564,-1.91335
905,1.12341,-2.64985
906,1.10791,-2.8368
907,1.08489,-2.71399
908,1.16016,-2.28727
909,1.05638,-2.73472
910,1.09607,-2.86018
911,1.07348,-2.119
912,1.08126,-2.29708
913,1.19915,-2.8793
914,1.15859,-2.81825
915,1.18445,-2.56297
916,1.20489,-2.37308
917,1.18939,-2.01917
918,1.07427,-3.18854
919,1.07159,-2.96683
920,1.10891,-3.25268
921,1.07579,-1.84464
922,1.05877,-2.38026
923,1.02287,-2.7009
924,1.03404,-2.37518
925,1.01743,-2.57905
926,1.03309,-2.44926
927,1.07174,-2.95122
928,1.09624,-2.80447
929,1.07506,-2.64493
930,1.2876,-2.18578
931,1.16131,-2.34911
932,1.09153,-2.59498
933,0.99048,-2.2566
934,0.985743,-3.04299
935,1.00161,-2.31002
936,1.05953,-2.20298
937,1.11179,-2.64273
938,1.09194,-1.67181
939,1.08851,-2.79712
940,1.05264,-2.15192
941,1.02935,-2.97441
942,1.08798,-2.58872
943,1.03189,-2.40313
944,1.03795,-3.14466
945,1.3143,-1.83539
946,1.15856,-1.95449
947,1.09147,-2.94494
948,1.05885,-2.40104
949,1.0325,-2.2828
950,1.03376,-1.95785
951,1.0825,-3.30607
952,1.0817,-2.76199
953,1.13547,-3.11319
954,1.06876,-2.10952
955,1.03342,-2.21969
956,1.00922,-2.04105
957,0.981422,-3.1434
958,1.07592,-3.51113
959,1.02948,-3.07272
960,1.05511,-2.57994
961,1.03126,-3.25452
962,1.03244,-2.2707
963,1.15363,-2.93371
964,1.04922,-1.67516
965,1.04609,-2.03005
966,1.06241,-2.92637
967,1.12265,-2.6686
968,1.05872,-2.51636
969,1.05586,-2.66792
970,1.14597,-2.78121
971,1.08715,-2.41474
972,1.09099,-2.65204
973,1.10676,-2.6495
974,1.18076,-2.8746
975,1.16243,-2.21338
976,1.14835,-2.58525
977,1.15937,-2.32129
978,1.10846,-2.42557
979,1.08411,-2.51885
980,1.07384,-2.71122
981,1.03639,-2.78489
982,1.10313,-2.7534
983,1.03563,-1.96631
984,0.997291,-2.46126
985,1.02258,-3.13975
986,1.11412,-2.18212
987,1.0823,-2.51039
988,1.0742,-2.04571
989,1.01909,-1.49378
990,1.09722,-2.53829
991,1.02609,-2.81708
992,1.03024,-2.04889
993,1.09017,-2.11978
994,1.03534,-3.12297
995,1.0185,-2.75127
996,1.10278,-3.10491
997,1.10942,-3.14016
998,1.03035,-3.66659
999,1.03857,-2.56291
