Step,AveragePressure,MuExcess
901,1.0496,-2.03865
902,0.982913,-2.36541
903,0.942116,-2.11004
904,1.00461,-3.08792
905,1.02335,-2.31587
906,1.01864,-2.35809
907,1.01299,-2.7017
908,1.05395,-3.20782
909,1.06102,-2.62622
910,1.07699,-2.22644
911,1.06995,-2.13395
912,1.10496,-3.01278
913,1.12725,-2.54205
914,1.07036,-3.10667
915,1.02945,-1.74324
916,0.987247,-1.79143
917,1.00167,-3.09042
918,1.01994,-2.78965
919,1.03748,-2.26951
920,1.08925,-2.11256
921,1.10429,-2.70578
922,1.09877,-3.40126
923,1.09863,-3.08481
924,1.18311,-2.69076
925,1.1139,-2.46906
926,1.059,-2.22104
927,1.04894,-2.31252
928,1.00561,-2.64986
929,0.956549,-2.15048
930,0.955945,-2.70739
931,0.944595,-2.21587
932,0.937209,-2.24603
933,0.975117,-3.44675
934,0.919267,-2.08483
935,0.919371,-2.84471
936,1.01984,-2.66469
937,0.924551,-3.49365
938,0.950539,-2.66641
939,0.970383,-2.26746
940,0.990696,-2.58274
941,1.04456,-2.12137
942,0.996245,-3.57351
943,0.972912,-2.66747
944,1.00423,-2.58532
945,0.926541,-1.81718
946,0.922735,-2.32724
947,0.956953,-2.4929
948,0.93818,-3.06096
949,0.916295,-2.39636
950,0.906212,-2.5949
951,0.927063,-2.41846
952,0.935599,-2.84848
953,0.971506,-2.83396
954,0.970196,-2.37762
955,1.00922,-2.2166
956,0.994575,-3.54743
957,0.973033,-3.24348
958,0.944471,-1.97995
959,0.959211,-3.02028
960,1.05354,-3.18075
961,1.01016,-1.77234
962,0.947532,-2.5702
963,1.00003,-3.21895
964,1.04618,-2.02991
965,1.03485,-2.08773
966,0.970949,-2.24927
967,0.983773,-2.29908
968,1.02266,-2.77097
969,1.07834,-1.76886
970,1.09577,-2.88956
971,0.993184,-2.28633
972,0.984019,-3.15394
973,0.968476,-2.12085
974,1.02557,-2.45541
975,1.09313,-2.49402
976,1.06876,-2.76722
977,1.0767,-2.06471
978,1.09932,-2.99715
979,1.05292,-3.04962
980,1.06322,-2.37921
981,1.0757,-2.91447
982,1.13341,-2.62831
983,1.07223,-2.14485
984,1.03552,-2.56887
985,1.01021,-2.73077
986,0.940592,-3.50515
987,1.09164,-2.51993
988,1.09099,-2.2129
989,1.17354,-2.67165
990,1.15383,-2.8122
991,1.12836,-2.9669
992,1.19015,-2.91523
993,1.11413,-2.52122
994,1.00841,-2.30333
995,0.992524,-2.65889
996,1.01299,-2.73657
997,0.989345,-2.59523
998,1.05152,-2.24377
999,1.05301,-3.73642
