Step,AveragePressure,MuExcess
901,0.666834,-1.97035
902,0.681508,-2.62667
903,0.731312,-2.62841
904,0.660458,-3.08096
905,0.646357,-2.80511
906,0.705272,-2.31644
907,0.605878,-2.98029
908,0.652581,-2.99302
909,0.714885,-2.88552
910,0.70496,-3.30393
911,0.670177,-2.82803
912,0.621204,-2.75373
913,0.592156,-3.11327
914,0.581895,-2.92543
915,0.642651,-1.9745
916,0.756588,-2.82195
917,0.628166,-2.39646
918,0.591054,-1.72772
919,0.595153,-2.51353
920,0.610405,-2.31591
921,0.603513,-2.73175
922,0.556769,-1.81226
923,0.642069,-2.88927
924,0.671692,-2.76313
925,0.594128,-2.77023
926,0.524199,-2.48141
927,0.589462,-2.03091
928,0.653656,-2.79187
929,0.558218,-3.42362
930,0.584413,-2.39913
931,0.592736,-2.71414
932,0.650799,-3.11261
933,0.610142,-1.90733
934,0.675147,-3.72142
935,0.698602,-2.14046
936,0.598782,-2.79753
937,0.632425,-2.52888
938,0.631641,-2.21162
939,0.620132,-2.80766
940,0.589058,-2.8909
941,0.558641,-3.02815
942,0.607515,-2.26704
943,0.653113,-3.04822
944,0.669316,-2.22727
945,0.623144,-3.14231
946,0.709981,-2.03411
947,0.614946,-3.72161
948,0.587206,-2.43615
949,0.612214,-2.68399
950,0.622454,-2.71554
951,0.592905,-2.32353
952,0.612713,-2.65541
953,0.648927,-2.48083
954,0.674826,-2.76677
955,0.65403,-2.78617
956,0.647805,-2.68684
957,0.630798,-3.0477
958,0.615191,-2.84173
959,0.59101,-2.64682
960,0.631758,-2.64829
961,0.627019,-2.43855
962,0.680137,-1.97206
963,0.642192,-2.71345
964,0.646988,-2.84108
965,0.660446,-2.64216
966,0.608705,-2.40315
967,0.578452,-2.41269
968,0.614898,-2.22653
969,0.609373,-2.36497
970,0.546654,-2.96724
971,0.589853,-2.21525
972,0.629287,-2.92405
973,0.690943,-3.00581
974,0.722142,-2.89758
975,0.638129,-2.38275
976,0.627202,-2.66033
977,0.59967,-2.33277
978,0.548789,-2.23122
979,0.5745,-2.08119
980,0.598963,-2.88121
981,0.62212,-2.50184
982,0.634528,-2.54952
983,0.623293,-2.02335
984,0.62446,-1.46539
985,0.66332,-2.66695
986,0.684146,-1.7969
987,0.679288,-2.64605
988,0.67703,-2.97636
989,0.632414,-2.31631
990,0.608328,-2.72535
991,0.649601,-2.61396
992,0.676463,-2.04415
993,0.843371,-3.16382
994,0.800725,-2.01617
995,0.681419,-3.06226
996,0.709333,-1.96164
997,0.764324,-2.58195
998,0.710855,-3.16107
999,0.642791,-2.31646
