Step,AveragePressure,MuExcess
901,0.884528,-2.37001
902,0.935882,-3.15972
903,0.842836,-2.82741
904,0.922682,-2.29659
905,0.890503,-2.15501
906,0.804158,-2.033
907,0.840513,-2.63912
908,0.763654,-2.85977
909,0.845275,-1.76485
910,0.824288,-2.85662
911,0.831007,-2.35252
912,0.847802,-2.33126
913,0.886176,-1.85704
914,0.846142,-2.77669
915,0.826388,-2.29099
916,0.779538,-2.41659
917,0.821011,-2.75175
918,0.810921,-3.70681
919,0.86416,-3.77974
920,0.844513,-2.09436
921,0.753493,-3.14389
922,0.761373,-1.98224
923,0.742729,-2.58844
924,0.974832,-3.25466
925,0.938392,-3.40537
926,0.95987,-2.9575
927,1.03159,-3.62627
928,0.929097,-2.86442
929,0.953765,-3.57133
930,0.860515,-2.9121
931,0.797384,-3.4271
932,0.813357,-2.76867
933,0.822435,-2.98687
934,0.817616,-2.40509
935,0.791685,-2.59743
936,0.738164,-3.8505
937,0.764824,-2.1629
938,0.81752,-2.39046
939,0.824337,-2.26787
940,0.834224,-2.12973
941,0.855503,-2.59472
942,0.906848,-2.12063
943,0.777574,-2.67287
944,0.845561,-2.6626
945,0.839331,-1.80114
946,0.898828,-2.3271
947,0.932994,-3.18242
948,0.926529,-2.90958
949,0.922496,-3.14626
950,1.02383,-2.71858
951,0.89187,-2.73233
952,0.793172,-2.45279
953,0.820918,-2.36664
954,0.845678,-2.43168
955,0.769498,-2.9404
956,0.832207,-2.31298
957,0.860169,-2.12795
958,0.741117,-2.71552
959,0.744542,-1.88394
960,0.773763,-2.39087
961,0.769343,-3.05056
962,0.829383,-2.03249
963,0.827478,-2.55401
964,0.951254,-2.51239
965,0.937492,-2.20269
966,0.935226,-3.28682
967,0.833749,-2.00582
968,0.820806,-2.55544
969,0.810562,-2.9523
970,0.799318,-2.50137
971,0.837118,-2.61012
972,0.810863,-2.63644
973,0.833809,-2.97538
974,0.822746,-3.33734
975,0.746967,-2.14051
976,0.785877,-3.3988
977,0.904208,-2.55176
978,0.858495,-1.927
979,0.850285,-2.13251
980,0.747764,-2.30657
981,0.755138,-2.25697
982,0.878127,-2.23937
983,0.830127,-2.5209
984,1.01538,-3.32677
985,1.10507,-3.18386
986,0.865016,-2.99997
987,0.778985,-2.32593
988,0.779016,-2.99653
989,0.77742,-2.55484
990,0.71144,-3.23407
991,0.733672,-2.04095
992,0.892353,-2.62164
993,0.919026,-1.43544
994,0.799978,-2.85373
995,0.790404,-2.4712
996,0.752358,-2.53946
997,0.736787,-2.03732
998,0.73763,-1.69923
999,0.773601,-2.46894
