Step,AveragePressure,MuExcess
901,0.579996,-2.76701
902,0.605427,-2.56512
903,0.610421,-2.50627
904,0.59437,-2.72853
905,0.611217,-2.27336
906,0.649893,-2.34869
907,0.641919,-2.40775
908,0.660341,-2.86576
909,0.573257,-2.4182
910,0.565332,-2.15116
911,0.540773,-2.54602
912,0.59872,-2.73001
913,0.598362,-2.20867
914,0.602136,-2.70394
915,0.583756,-2.5429
916,0.592678,-3.87637
917,0.605733,-1.31603
918,0.608092,-2.36792
919,0.690754,-2.50661
920,0.588024,-2.35569
921,0.626869,-1.98434
922,0.534942,-2.6249
923,0.500021,-2.71098
924,0.521354,-2.36711
925,0.561607,-2.16287
926,0.566543,-2.52009
927,0.5369,-3.29766
928,0.52108,-2.09224
929,0.541211,-3.24198
930,0.618828,-2.71621
931,0.577437,-2.11844
932,0.587619,-2.99085
933,0.601508,-2.57069
934,0.67104,-2.55653
935,0.562891,-2.77629
936,0.66844,-2.87157
937,0.569287,-2.14229
938,0.549626,-2.29219
939,0.78873,-3.11148
940,0.533284,-1.67493
941,0.642845,-2.97023
942,0.519031,-2.05662
943,0.495005,-3.2636
944,0.526948,-1.86071
945,0.51969,-2.24221
946,0.491554,-2.91565
947,0.613365,-1.96201
948,0.621,-2.08751
949,0.642802,-3.29784
950,0.624794,-2.11772
951,0.706882,-2.63467
952,0.698352,-2.55675
953,0.617866,-3.25256
954,0.661152,-3.73497
955,0.65853,-2.33676
956,0.649657,-1.68939
957,0.703498,-2.4205
958,0.699638,-2.41797
959,0.689978,-2.75206
960,0.638946,-2.39374
961,0.650405,-1.90853
962,0.581731,-3.02321
963,0.536938,-3.112
964,0.591512,-2.59794
965,0.691663,-2.18251
966,0.631932,-2.79557
967,0.538829,-2.76157
968,0.596268,-2.54238
969,0.5174,-2.29703
970,0.55429,-2.6241
971,0.519334,-2.76601
972,0.501711,-1.85146
973,0.534002,-2.15576
974,0.510613,-3.52297
975,0.561365,-1.55576
976,0.56908,-3.22462
977,0.663953,-2.38645
978,0.594661,-1.67314
979,0.588096,-2.163
980,0.617363,-2.67301
981,0.592287,-2.56818
982,0.529262,-2.05497
983,0.514398,-1.84126
984,0.590557,-2.398
985,0.505494,-2.80617
986,0.514971,-2.5764
987,0.529102,-3.09282
988,0.552842,-2.83535
989,0.646234,-1.74703
990,0.648558,-2.68391
991,0.669769,-2.09443
992,0.804581,-2.32159
993,0.843708,-2.51564
994,0.814358,-3.23113
995,0.826932,-2.07628
996,0.707981,-2.69283
997,0.659484,-2.42007
998,0.520805,-2.3764
999,0.511836,-2.53722
