Step,AveragePressure,MuExcess
901,0.979836,-2.80384
902,0.943146,-3.03525
903,0.923187,-3.10242
904,0.989295,-3.22791
905,0.939771,-2.598
906,0.947304,-2.20165
907,0.950947,-2.19285
908,1.06485,-2.67562
909,1.08842,-2.52268
910,0.986852,-2.68595
911,1.00422,-3.42581
912,1.06276,-2.83377
913,0.968589,-2.73708
914,0.912505,-1.67818
915,0.869033,-2.70934
916,1.00868,-3.41333
917,0.952615,-2.46722
918,0.990332,-2.27278
919,0.993234,-2.89399
920,0.999793,-3.107
921,1.02047,-2.17825
922,0.941674,-2.20375
923,0.941448,-2.41829
924,0.890311,-2.86176
925,0.910445,-2.85824
926,0.977945,-2.94723
927,0.908313,-2.3237
928,0.946416,-2.13079
929,0.932907,-2.68039
930,0.913059,-2.92751
931,0.925664,-2.64777
932,0.922593,-2.33998
933,0.836835,-1.87193
934,0.893561,-2.30166
935,0.881674,-1.72065
936,0.905628,-2.28332
937,0.90576,-2.83997
938,0.901214,-3.58068
939,0.952328,-2.20371
940,0.978261,-2.70695
941,0.979893,-2.60063
942,0.959944,-3.25725
943,0.958178,-2.45407
944,0.953703,-2.41406
945,0.894895,-2.4625
946,0.880187,-2.19852
947,0.878453,-2.95186
948,0.896907,-2.54093
949,0.967903,-2.36332
950,0.93869,-2.52881
951,0.918341,-2.16784
952,0.87917,-2.35822
953,0.884414,-2.44734
954,0.864453,-2.97484
955,0.983714,-2.85909
956,1.04309,-2.54184
957,1.02915,-2.19173
958,0.9803,-2.47456
959,0.974792,-2.90299
960,1.04649,-3.23578
961,0.944692,-2.57717
962,0.976326,-2.54771
963,1.02386,-2.38769
964,1.01294,-2.53541
965,1.0127,-2.68415
966,0.971219,-2.59054
967,0.95501,-2.13933
968,0.890808,-3.39542
969,0.939852,-2.34991
970,0.955316,-3.39268
971,0.942614,-3.20614
972,1.00033,-2.75838
973,1.03932,-2.57064
974,0.940129,-2.64781
975,1.00432,-2.48595
976,0.947987,-2.86092
977,0.907624,-3.07847
978,0.965677,-1.93065
979,1.05872,-2.54835
980,1.05357,-3.00486
981,0.949712,-2.9895
982,0.986271,-2.4952
983,0.962574,-2.49206
984,0.935868,-2.55719
985,0.924851,-1.98159
986,1.01039,-2.76062
987,1.04472,-2.41045
988,1.00372,-2.45532
989,0.988849,-3.30043
990,0.947164,-2.92221
991,0.902413,-1.6275
992,0.898725,-3.63346
993,0.917483,-2.52261
994,0.900405,-1.84727
995,0.897892,-2.68974
996,0.901401,-2.39203
997,0.902976,-2.69877
998,0.928038,-1.93114
999,0.920872,-3.30528
