Step,AveragePressure,MuExcess
901,1.06349,-3.24835
902,1.00386,-2.15423
903,0.991733,-2.83336
904,1.03534,-2.76611
905,0.978988,-2.18857
906,0.987693,-3.08599
907,0.964233,-1.98655
908,0.952395,-2.82908
909,0.964883,-1.59632
910,0.966104,-2.53032
911,0.945874,-2.65079
912,0.977997,-2.35443
913,1.05616,-2.71964
914,1.15869,-2.95851
915,1.07766,-2.88629
916,1.08884,-2.63598
917,1.01479,-2.11203
918,1.01369,-2.70355
919,1.03004,-1.75332
920,1.05871,-2.22818
921,0.994611,-2.80977
922,0.981455,-2.82855
923,0.957632,-2.89675
924,0.98733,-2.74635
925,1.08409,-2.29703
926,1.06348,-2.11573
927,1.03329,-2.59352
928,1.04164,-2.79657
929,1.06446,-2.74901
930,1.21064,-2.24932
931,1.04034,-2.10393
932,1.14341,-2.29133
933,1.08339,-1.48948
934,1.03647,-2.06403
935,1.08876,-2.49855
936,1.04598,-3.35981
937,1.00875,-2.55059
938,1.01033,-2.67523
939,1.0356,-2.50696
940,1.03686,-1.88152
941,1.03565,-3.26526
942,1.064,-2.40512
943,0.971431,-2.08108
944,0.959163,-2.21267
945,0.938783,-1.92993
946,0.987049,-2.02004
947,0.960546,-2.10936
948,0.914305,-3.17568
949,0.926083,-2.0121
950,0.95152,-2.97561
951,0.917308,-2.39037
952,0.974009,-2.43512
953,1.0078,-2.80331
954,0.902629,-2.26243
955,1.01012,-2.71278
956,0.994755,-2.46422
957,0.971851,-3.25769
958,1.0231,-2.96179
959,0.998188,-2.62756
960,0.970202,-2.33017
961,0.938496,-2.55849
962,1.00695,-2.25929
963,1.00754,-1.96856
964,0.979867,-2.31684
965,0.917746,-2.74682
966,1.05295,-2.41101
967,1.12228,-1.90777
968,1.11084,-2.52703
969,1.1028,-2.57727
970,1.08754,-2.28821
971,1.18019,-2.29506
972,1.08703,-2.8562
973,1.00915,-2.48674
974,1.06065,-2.56293
975,0.996302,-2.305
976,0.98704,-2.79808
977,0.939731,-2.61276
978,1.00675,-1.81438
979,0.963071,-2.27188
980,0.975738,-2.35657
981,0.95758,-1.51433
982,1.11255,-2.42771
983,1.10045,-2.26766
984,1.05702,-2.40517
985,1.10289,-2.94628
986,1.07411,-2.25297
987,0.992172,-2.83722
988,0.987529,-2.37146
989,0.955029,-3.15885
990,0.968593,-2.40077
991,0.945172,-3.00516
992,0.925319,-2.90235
993,0.953307,-2.94058
994,0.977487,-3.07407
995,1.00169,-2.93065
996,0.96173,-2.44291
997,0.961872,-2.51836
998,0.980481,-2.58324
999,0.944285,-2.02576
