Step,AveragePressure,MuExcess
901,0.389501,-2.89804
902,0.3414,-2.59592
903,0.333625,-2.43324
904,0.364139,-2.74938
905,0.40761,-2.50901
906,0.403563,-2.36823
907,0.444314,-3.16185
908,0.42396,-3.4209
909,0.395944,-2.79543
910,0.349568,-2.9554
911,0.33804,-1.72837
912,0.341468,-3.3228
913,0.313723,-3.18879
914,0.297727,-2.13114
915,0.324257,-2.48005
916,0.31061,-2.53515
917,0.355245,-2.67723
918,0.28517,-2.79984
919,0.188749,-3.09313
920,0.313773,-2.3022
921,0.318424,-2.68793
922,0.325197,-2.0801
923,0.270667,-2.98583
924,0.330346,-2.51336
925,0.336171,-1.91477
926,0.429564,-2.72306
927,0.437134,-2.31394
928,0.433382,-3.61192
929,0.556616,-2.27939
930,0.56078,-2.55021
931,0.337395,-2.14092
932,0.277112,-2.00144
933,0.351574,-2.8177
934,0.289047,-2.58684
935,0.328398,-2.45228
936,0.403559,-3.56853
937,0.286299,-2.28664
938,0.284628,-2.45959
939,0.296386,-3.20788
940,0.38965,-2.18627
941,0.337108,-2.3882
942,0.324491,-2.11691
943,0.28122,-2.07337
944,0.338007,-3.19767
945,0.280204,-2.11632
946,0.33887,-2.54705
947,0.341391,-2.51825
948,0.314285,-2.62651
949,0.317752,-3.02368
950,0.316868,-2.52545
951,0.344001,-2.73877
952,0.397336,-2.28346
953,0.317795,-2.57378
954,0.305058,-2.35817
955,0.275465,-2.52198
956,0.317415,-3.34748
957,0.324007,-2.70727
958,0.370726,-2.6318
959,0.328371,-2.52154
960,0.26369,-3.10067
961,0.439867,-2.32904
962,0.392697,-2.23643
963,0.359067,-2.43784
964,0.331212,-2.86809
965,0.337843,-2.58657
966,0.289434,-2.47157
967,0.403799,-2.96166
968,0.44191,-2.59707
969,0.340939,-1.88149
970,0.383102,-2.44115
971,0.456933,-2.05283
972,0.409698,-2.73957
973,0.378282,-2.89343
974,0.32237,-2.28564
975,0.279151,-2.52994
976,0.286253,-2.22302
977,0.262104,-3.39671
978,0.312256,-3.30284
979,0.371906,-3.02175
980,0.269711,-1.95474
981,0.298305,-1.93692
982,0.268366,-2.7204
983,0.290992,-2.95805
984,0.313713,-2.41425
985,0.299827,-3.36638
986,0.350791,-2.1503
987,0.446492,-3.10353
988,0.390576,-2.7728
989,0.453185,-2.56249
990,0.332242,-3.13888
991,0.34866,-2.07057
992,0.419904,-2.70767
993,0.472722,-2.60823
994,0.38967,-2.81058
995,0.334788,-3.17093
996,0.288797,-2.66003
997,0.29586,-2.31246
998,0.391311,-2.72237
999,0.296715,-1.85888
