Step,AveragePressure,MuExcess
901,0.277882,-2.51227
902,0.276614,-3.184
903,0.368455,-1.35172
904,0.310228,-1.99259
905,0.356451,-2.20003
906,0.328425,-2.16269
907,0.340818,-2.60762
908,0.388282,-2.47447
909,0.502492,-2.85148
910,0.424543,-2.27969
911,0.400051,-2.26755
912,0.335939,-2.96423
913,0.364682,-2.25128
914,0.416157,-2.84536
915,0.397323,-3.18016
916,0.33678,-2.88213
917,0.451534,-2.8334
918,0.380361,-2.27943
919,0.35031,-2.28452
920,0.388122,-2.80439
921,0.451,-2.33432
922,0.380631,-2.3527
923,0.397347,-2.48902
924,0.495313,-3.08828
925,0.500093,-2.76181
926,0.441858,-3.12721
927,0.476417,-2.33978
928,0.513268,-2.50953
929,0.518877,-2.10262
930,0.491205,-2.53741
931,0.460049,-2.4219
932,0.445208,-2.90691
933,0.318647,-2.7096
934,0.444768,-2.80597
935,0.422385,-2.76944
936,0.373183,-2.09257
937,0.391911,-2.19052
938,0.353029,-2.40032
939,0.370585,-2.86786
940,0.422112,-2.89905
941,0.453421,-3.04608
942,0.469169,-3.20918
943,0.356476,-2.40515
944,0.341949,-2.39202
945,0.32017,-2.32398
946,0.330767,-3.03998
947,0.348232,-1.93657
948,0.294052,-2.28957
949,0.352634,-2.67878
950,0.358918,-2.41921
951,0.402024,-2.76275
952,0.359092,-3.47054
953,0.3376,-2.50295
954,0.454436,-3.15416
955,0.412508,-2.55143
956,0.438165,-1.42523
957,0.412644,-2.72625
958,0.441398,-2.15099
959,0.306882,-2.44878
960,0.338631,-2.3674
961,0.33487,-2.58986
962,0.314414,-2.01228
963,0.327355,-2.5402
964,0.358678,-2.60851
965,0.372102,-2.83889
966,0.445963,-2.63943
967,0.430952,-2.02489
968,0.374342,-2.71707
969,0.351734,-2.57513
970,0.398422,-2.77557
971,0.417795,-2.49286
972,0.317749,-2.33607
973,0.32841,-2.98969
974,0.493711,-2.33226
975,0.526313,-2.83748
976,0.544491,-2.5141
977,0.368631,-2.56146
978,0.384091,-3.288
979,0.385954,-2.86609
980,0.421882,-3.07826
981,0.592377,-2.05867
982,0.456076,-1.30593
983,0.380539,-2.7267
984,0.37889,-2.64358
985,0.424887,-2.12883
986,0.407074,-2.44639
987,0.391603,-2.61761
988,0.40981,-2.56083
989,0.385907,-2.87529
990,0.406806,-2.1694
991,0.412841,-2.10859
992,0.496919,-2.00427
993,0.502368,-2.80325
994,0.307643,-2.49367
995,0.389699,-2.82409
996,0.368058,-3.0039
997,0.420126,-2.89744
998,0.318077,-3.4071
999,0.326539,-2.63176
