Step,AveragePressure,MuExcess
901,0.338844,-1.64228
902,0.358554,-2.04483
903,0.417061,-2.76039
904,0.411051,-3.20331
905,0.404843,-3.66706
906,0.427332,-2.47585
907,0.454011,-2.57882
908,0.45514,-2.59736
909,0.44362,-2.21186
910,0.352866,-1.97398
911,0.438721,-2.82408
912,0.363993,-2.35594
913,0.365868,-2.49262
914,0.330108,-2.08795
915,0.338482,-2.04153
916,0.333649,-2.94985
917,0.303605,-2.7547
918,0.314519,-2.60639
919,0.302084,-2.25342
920,0.303534,-2.11871
921,0.298482,-3.32606
922,0.319447,-2.60825
923,0.354996,-2.17865
924,0.37369,-2.83374
925,0.356056,-2.79821
926,0.38498,-2.51322
927,0.581099,-2.81488
928,0.505966,-2.92642
929,0.400647,-2.90367
930,0.403844,-2.45673
931,0.376523,-2.17923
932,0.460715,-2.5761
933,0.344714,-2.9677
934,0.29124,-1.96158
935,0.318019,-1.9144
936,0.338392,-2.06222
937,0.351923,-2.32587
938,0.49132,-2.50763
939,0.375935,-2.66917
940,0.434328,-3.14555
941,0.467826,-2.79031
942,0.578709,-3.99496
943,0.387899,-2.13808
944,0.422374,-2.61083
945,0.407582,-3.02044
946,0.315283,-2.98513
947,0.357303,-3.32234
948,0.324272,-1.945
949,0.358757,-1.78154
950,0.294399,-1.93904
951,0.345458,-2.38673
952,0.310135,-2.4089
953,0.454079,-2.45082
954,0.483231,-2.69662
955,0.374325,-3.20683
956,0.396393,-2.87751
957,0.32407,-2.41386
958,0.292256,-2.07804
959,0.26247,-2.9291
960,0.363476,-2.89173
961,0.353604,-2.08966
962,0.322399,-2.82167
963,0.341349,-2.32968
964,0.297583,-3.02133
965,0.364636,-2.68258
966,0.421734,-2.87123
967,0.414148,-2.21498
968,0.434079,-2.72542
969,0.421308,-2.29425
970,0.429479,-2.84761
971,0.400288,-2.43687
972,0.33713,-3.53747
973,0.451696,-2.63349
974,0.432476,-1.76526
975,0.346297,-2.3959
976,0.346837,-1.91717
977,0.356535,-2.5647
978,0.378562,-2.2458
979,0.325136,-2.84374
980,0.356421,-2.85141
981,0.351828,-3.71887
982,0.314449,-2.16865
983,0.346601,-2.9082
984,0.345942,-2.90078
985,0.415178,-2.95306
986,0.337229,-2.44254
987,0.343446,-2.33813
988,0.393211,-2.30156
989,0.388908,-3.47731
990,0.503681,-1.89269
991,0.51458,-2.33935
992,0.359705,-2.20487
993,0.378368,-2.45725
994,0.398447,-2.50651
995,0.315548,-2.75745
996,0.282939,-2.75748
997,0.305658,-2.7108
998,0.366379,-2.36461
999,0.480605,-2.17181
