Step,AveragePressure,MuExcess
901,-0.00129384,-2.22525
902,0.0606526,-2.11492
903,0.0505945,-2.8811
904,0.0813646,-2.34993
905,0.119605,-2.38873
906,0.11512,-2.31846
907,0.11358,-2.04938
908,0.0507647,-2.52406
909,0.0789885,-2.24866
910,0.128808,-2.15706
911,0.141792,-2.48587
912,0.100965,-1.94951
913,0.101228,-2.33835
914,0.218286,-2.42129
915,0.0984204,-2.12171
916,0.176651,-2.0493
917,0.108709,-2.80352
918,0.123803,-2.69966
919,0.131146,-2.05241
920,0.099885,-2.33158
921,0.112515,-2.81849
922,0.190493,-1.86095
923,0.107874,-2.46146
924,0.112035,-2.83643
925,0.153643,-2.93201
926,0.168377,-2.43855
927,0.241533,-2.52436
928,0.202864,-3.26156
929,0.105894,-2.3064
930,0.159062,-2.46393
931,0.179278,-2.97033
932,0.179546,-2.14731
933,0.169056,-2.50749
934,0.172916,-2.85489
935,0.13148,-3.21527
936,0.118413,-2.53897
937,0.101798,-2.49048
938,0.091473,-2.31192
939,0.170156,-2.37835
940,0.183437,-2.12732
941,0.140674,-2.32121
942,0.153394,-3.37981
943,0.178612,-1.82811
944,0.196858,-2.60844
945,0.148803,-2.30815
946,0.229573,-2.32569
947,0.205685,-2.2851
948,0.164277,-1.72145
949,0.185301,-2.74155
950,0.241187,-2.56263
951,0.260172,-2.47265
952,0.273043,-2.67627
953,0.133946,-1.10483
954,0.14724,-2.74528
955,0.122408,-2.31915
956,0.138343,-3.52458
957,0.0612677,-2.57022
958,0.043027,-2.96503
959,0.0643733,-2.64855
960,0.0683149,-2.99934
961,0.0921715,-2.97689
962,0.0263741,-2.58594
963,0.0832803,-2.94473
964,0.049362,-2.20644
965,0.0755168,-2.81356
966,0.0656915,-3.06475
967,0.053372,-2.97015
968,0.104077,-2.71058
969,0.0548803,-2.75959
970,0.109644,-2.73442
971,0.0734843,-2.76494
972,0.103843,-2.382
973,0.112379,-3.28573
974,0.0517698,-2.42003
975,0.0898995,-2.88631
976,0.197286,-2.57481
977,0.224398,-3.72542
978,0.170268,-2.14211
979,0.17994,-2.18298
980,0.125202,-2.43045
981,0.147076,-2.67875
982,0.0767417,-2.91262
983,0.133154,-2.66599
984,0.161741,-2.5618
985,0.136708,-2.12552
986,0.11968,-2.0099
987,0.166142,-1.92279
988,0.243926,-1.95495
989,0.292262,-2.2819
990,0.324838,-2.50327
991,0.232962,-3.24067
992,0.177949,-2.48803
993,0.0761213,-2.82128
994,0.0534695,-3.07389
995,0.178093,-2.65059
996,0.192698,-3.48576
997,0.188183,-2.86789
998,0.198099,-3.67357
999,0.213555,-2.92231
