Step,AveragePressure,MuExcess
901,0.232686,-2.50817
902,0.154848,-2.96449
903,0.19595,-1.58337
904,0.2072,-3.74801
905,0.228211,-3.16302
906,0.227307,-2.69109
907,0.290047,-3.207
908,0.390695,-2.36299
909,0.342259,-2.52522
910,0.434549,-3.14241
911,0.423528,-2.7179
912,0.2845,-1.84304
913,0.239266,-2.75376
914,0.270899,-3.01757
915,0.218209,-1.91426
916,0.140289,-2.39984
917,0.123409,-2.52904
918,0.156648,-3.52027
919,0.155401,-2.65391
920,0.138212,-2.29244
921,0.225662,-2.85107
922,0.155076,-2.76169
923,0.121096,-2.66594
924,0.105575,-2.32775
925,0.107108,-2.82074
926,0.174401,-2.22967
927,0.169761,-2.51767
928,0.20775,-1.60478
929,0.255743,-2.22743
930,0.140804,-2.365
931,0.135607,-3.4628
932,0.180428,-2.27675
933,0.0973237,-2.94149
934,0.123355,-1.72213
935,0.215075,-2.83719
936,0.0911419,-2.22461
937,0.253894,-2.99758
938,0.230075,-2.35785
939,0.14094,-1.95165
940,0.0490794,-2.96692
941,0.0854071,-2.77208
942,0.0818192,-2.52762
943,0.085132,-2.46711
944,0.17259,-2.40103
945,0.083653,-2.43789
946,0.086933,-2.56614
947,0.0950219,-3.22416
948,0.126769,-2.88141
949,0.110233,-2.4313
950,0.121229,-1.68178
951,0.114642,-3.08801
952,0.254621,-1.89347
953,0.280218,-1.97474
954,0.284273,-4.22271
955,0.152429,-1.81101
956,0.157492,-2.53954
957,0.16865,-2.22687
958,0.18014,-2.34074
959,0.125704,-2.17557
960,0.163905,-1.79246
961,0.114823,-2.51807
962,0.101346,-2.67115
963,0.127199,-2.16815
964,0.196445,-1.51382
965,0.119791,-3.2885
966,0.0665779,-2.41266
967,0.147693,-1.64165
968,0.0901353,-2.11304
969,0.215728,-3.07108
970,0.139564,-1.86828
971,0.162735,-2.5491
972,0.225794,-3.11079
973,0.300231,-2.6356
974,0.320942,-2.65025
975,0.24659,-2.63271
976,0.215475,-2.30763
977,0.217972,-1.49561
978,0.268445,-2.53207
979,0.366431,-3.04854
980,0.168995,-2.53292
981,0.142809,-2.77119
982,0.156208,-2.31185
983,0.195555,-2.51763
984,0.251021,-2.24569
985,0.174718,-2.00974
986,0.0687512,-2.14023
987,0.118332,-2.69507
988,0.104673,-2.42626
989,0.156262,-1.97046
990,0.11983,-1.98324
991,0.122619,-2.93003
992,0.155635,-2.73688
993,0.178985,-2.55233
994,0.209016,-3.1753
995,0.200588,-2.32813
996,0.200089,-2.94226
997,0.206756,-2.48471
998,0.231417,-3.27154
999,0.359775,-2.08124
