Step,AveragePressure,MuExcess
901,0.820739,-2.36705
902,0.828071,-3.55047
903,0.813462,-2.73367
904,0.761935,-1.99095
905,0.717822,-3.10175
906,0.710377,-2.68483
907,0.672287,-2.26782
908,0.71142,-3.05273
909,0.664997,-2.51141
910,0.685611,-2.30829
911,0.673971,-2.6692
912,0.661749,-2.92645
913,0.704733,-2.08267
914,0.660482,-2.27313
915,0.689539,-1.91825
916,0.677088,-2.85001
917,0.673596,-2.57502
918,0.715505,-3.58317
919,0.713987,-3.20354
920,0.670951,-2.73701
921,0.775642,-2.29901
922,0.72483,-2.80711
923,0.681114,-2.66317
924,0.699282,-2.88546
925,0.650667,-2.55017
926,0.676788,-2.31747
927,0.717699,-1.89421
928,0.792332,-2.24088
929,0.864814,-1.89607
930,0.837364,-2.56413
931,0.75811,-2.21963
932,0.713278,-2.47336
933,0.725904,-2.41732
934,0.805703,-3.0346
935,0.747928,-2.52722
936,0.714806,-2.38556
937,0.683028,-2.28058
938,0.688947,-2.49699
939,0.718332,-2.86226
940,0.757538,-2.71155
941,0.774649,-2.65602
942,0.740817,-2.9503
943,0.812414,-2.22185
944,0.799394,-2.4658
945,0.781842,-2.87919
946,0.774126,-3.08744
947,0.781897,-2.67873
948,0.762628,-2.22873
949,0.837132,-2.94609
950,0.7594,-1.48503
951,0.757941,-2.34153
952,0.730591,-2.64477
953,0.735234,-2.3601
954,0.81082,-2.94287
955,0.752441,-1.55419
956,0.780378,-1.86827
957,0.814907,-2.95269
958,0.809423,-1.98445
959,0.780796,-2.69119
960,0.809928,-2.67286
961,0.727375,-2.34287
962,0.745661,-2.25795
963,0.718488,-1.92339
964,0.73158,-2.22453
965,0.776319,-2.16651
966,0.754591,-2.60953
967,0.750004,-2.37357
968,0.809261,-2.50572
969,0.736032,-3.05715
970,0.717274,-2.27004
971,0.726038,-3.66611
972,0.691223,-2.89105
973,0.808353,-2.5814
974,0.786312,-2.37529
975,0.731239,-2.98884
976,0.763862,-2.36815
977,0.744636,-2.35801
978,0.735107,-3.13149
979,0.729981,-2.29367
980,0.717144,-2.62866
981,0.726895,-2.66921
982,0.754365,-2.22472
983,0.687605,-2.99978
984,0.735464,-2.40536
985,0.931939,-2.92911
986,0.93144,-3.98402
987,0.809501,-2.6832
988,0.783897,-2.55576
989,0.809041,-2.34784
990,0.738463,-2.72453
991,0.754574,-2.67807
992,0.887294,-2.37975
993,0.902657,-3.32439
994,0.907119,-2.8007
995,0.887024,-2.54589
996,0.902209,-2.02556
997,0.869989,-1.31361
998,0.818915,-2.12235
999,0.747932,-2.38965
