Step,AveragePressure,MuExcess
901,0.28354,-2.72691
902,0.295174,-2.06892
903,0.339705,-2.69579
904,0.375445,-2.90046
905,0.414236,-2.68963
906,0.374159,-2.43994
907,0.330664,-1.90375
908,0.311587,-2.6544
909,0.24743,-2.6515
910,0.292107,-2.32291
911,0.223041,-3.17717
912,0.256506,-2.57521
913,0.203227,-3.12783
914,0.358554,-2.66215
915,0.330621,-2.66431
916,0.30636,-3.50841
917,0.232768,-2.41443
918,0.28273,-2.76482
919,0.295348,-2.07844
920,0.226955,-2.61759
921,0.208514,-2.34788
922,0.332734,-2.34627
923,0.2945,-2.63294
924,0.322977,-2.45575
925,0.375664,-2.66465
926,0.380058,-2.38791
927,0.294477,-2.67003
928,0.263579,-2.44473
929,0.359121,-2.63615
930,0.326483,-2.31982
931,0.225136,-3.21669
932,0.30994,-2.9058
933,0.362893,-3.25436
934,0.448643,-2.12412
935,0.384994,-2.95963
936,0.213495,-1.89278
937,0.245942,-2.20351
938,0.281229,-1.88548
939,0.334412,-3.17899
940,0.302455,-2.42766
941,0.321215,-2.29113
942,0.255305,-1.79274
943,0.268165,-1.69573
944,0.264463,-1.5443
945,0.262381,-2.38706
946,0.26556,-2.5355
947,0.220233,-2.25762
948,0.215729,-1.65288
949,0.207516,-2.80987
950,0.166104,-2.89245
951,0.184823,-2.95226
952,0.189049,-2.76169
953,0.172149,-1.78358
954,0.284129,-2.14495
955,0.346465,-2.55286
956,0.190337,-2.54636
957,0.196378,-2.55843
958,0.198616,-2.56613
959,0.22293,-1.8607
960,0.306461,-2.25163
961,0.272862,-2.35431
962,0.317855,-1.9695
963,0.326011,-1.97661
964,0.387161,-2.39647
965,0.324302,-2.65203
966,0.322902,-2.22237
967,0.253948,-2.92666
968,0.268129,-2.72725
969,0.204921,-2.46932
970,0.231066,-2.37117
971,0.241782,-3.94086
972,0.324199,-1.5742
973,0.333954,-2.43542
974,0.214032,-1.82461
975,0.227529,-3.56152
976,0.200965,-2.40253
977,0.27826,-2.75855
978,0.285171,-1.93626
979,0.29744,-2.29248
980,0.270814,-2.61319
981,0.28216,-2.41046
982,0.277399,-1.99421
983,0.266788,-2.32216
984,0.291774,-2.46044
985,0.297549,-1.90381
986,0.355375,-2.13234
987,0.429159,-2.78561
988,0.362287,-3.13084
989,0.256689,-2.90409
990,0.248916,-2.75198
991,0.253235,-2.70686
992,0.240243,-2.76101
993,0.247298,-2.71662
994,0.259925,-2.46374
995,0.266072,-3.12634
996,0.215338,-3.23922
997,0.23073,-2.97239
998,0.393236,-3.00828
999,0.300439,-1.99839
