Step,AveragePressure,MuExcess
901,0.184912,-2.50408
902,0.185997,-1.93192
903,0.213309,-3.08525
904,0.314684,-2.32281
905,0.266959,-2.50796
906,0.26105,-2.45049
907,0.253389,-1.71461
908,0.249448,-2.9134
909,0.271006,-2.97381
910,0.295942,-2.33207
911,0.235052,-2.24836
912,0.229095,-2.05132
913,0.198523,-2.08236
914,0.23708,-2.59952
915,0.258728,-2.74507
916,0.324617,-1.9081
917,0.240578,-2.40415
918,0.271972,-2.52475
919,0.233438,-2.75661
920,0.328691,-2.14232
921,0.317109,-2.75011
922,0.263418,-2.50474
923,0.205061,-2.52678
924,0.237421,-2.41191
925,0.234516,-2.2999
926,0.197867,-2.34828
927,0.185574,-2.50696
928,0.24577,-3.23492
929,0.255959,-2.42318
930,0.264277,-2.74568
931,0.284412,-2.76181
932,0.334199,-4.26952
933,0.337009,-3.12007
934,0.282678,-2.41941
935,0.299276,-2.51556
936,0.321749,-3.2716
937,0.282868,-2.81862
938,0.307708,-2.45825
939,0.309632,-2.61327
940,0.299951,-2.91811
941,0.345331,-1.84843
942,0.391003,-3.8865
943,0.285892,-3.28382
944,0.461971,-2.73127
945,0.391739,-1.93852
946,0.37328,-2.55687
947,0.383706,-2.32116
948,0.272702,-2.74321
949,0.208603,-2.05899
950,0.229847,-2.69441
951,0.273522,-2.37929
952,0.225328,-2.70425
953,0.189767,-2.86724
954,0.258602,-2.40049
955,0.392266,-2.78723
956,0.247273,-2.58558
957,0.259014,-2.71267
958,0.215588,-2.31257
959,0.211884,-2.29517
960,0.190524,-2.65649
961,0.249054,-2.82635
962,0.254191,-3.11097
963,0.22772,-2.87448
964,0.233731,-2.07192
965,0.221053,-2.18743
966,0.246954,-2.15031
967,0.235403,-2.78922
968,0.260203,-2.95622
969,0.214459,-2.43472
970,0.217856,-2.52615
971,0.26644,-2.04891
972,0.239543,-2.17054
973,0.221288,-1.8193
974,0.230318,-3.69648
975,0.2113,-2.89946
976,0.417231,-1.84371
977,0.252366,-3.21347
978,0.284901,-2.6979
979,0.301054,-2.66909
980,0.290238,-3.14046
981,0.300698,-2.63752
982,0.220456,-2.07659
983,0.214193,-3.58969
984,0.304968,-2.64324
985,0.341794,-2.24988
986,0.311172,-2.61526
987,0.390104,-2.78685
988,0.424052,-2.62846
989,0.433953,-2.42991
990,0.282355,-2.48892
991,0.260583,-2.71365
992,0.289382,-1.8466
993,0.260041,-2.41308
994,0.370111,-2.37214
995,0.354191,-3.12598
996,0.298183,-2.49924
997,0.269637,-2.19942
998,0.305033,-2.30042
999,0.315668,-2.7008
