Step,AveragePressure,MuExcess
901,0.949385,-2.33149
902,1.01698,-2.67935
903,0.9784,-2.94051
904,0.926386,-1.98351
905,0.927179,-2.64672
906,0.924339,-3.02603
907,1.00313,-3.1231
908,1.00628,-3.01601
909,1.01568,-3.00347
910,1.0319,-2.95523
911,1.01128,-2.53464
912,1.10058,-2.52014
913,1.05867,-2.7615
914,1.03667,-2.33937
915,1.12325,-3.1244
916,1.01287,-2.56219
917,0.984068,-2.89487
918,1.04978,-3.10704
919,0.976715,-2.65762
920,0.974906,-1.92018
921,0.995193,-2.55284
922,1.01663,-2.80445
923,1.02075,-2.14789
924,1.03311,-2.03508
925,1.02131,-2.4565
926,1.03549,-2.41337
927,1.03774,-2.45866
928,0.944648,-2.99254
929,0.961213,-3.19274
930,1.0237,-2.50472
931,0.966926,-2.54709
932,0.975434,-2.87146
933,1.01667,-2.46737
934,0.978688,-1.80667
935,0.938335,-3.19769
936,0.956777,-2.20364
937,0.970676,-2.81056
938,0.998221,-2.87588
939,0.958375,-2.90869
940,0.902432,-2.27708
941,0.915035,-2.8318
942,0.9341,-2.20432
943,0.973412,-2.27662
944,0.973612,-2.32328
945,0.984165,-2.7569
946,0.998544,-2.43123
947,1.03582,-2.29575
948,1.02449,-2.36927
949,1.03076,-1.87393
950,0.913274,-2.72727
951,0.946941,-2.6926
952,0.963617,-3.25054
953,0.932664,-2.61524
954,0.975552,-2.53573
955,0.962328,-2.37467
956,0.945264,-2.23182
957,0.907657,-1.11191
958,0.87124,-2.17504
959,1.05624,-2.03497
960,0.91627,-3.51271
961,0.896247,-2.75132
962,0.934804,-2.51759
963,0.987079,-2.5776
964,1.00975,-2.46323
965,0.981872,-2.17473
966,1.06069,-2.40532
967,1.0555,-2.36311
968,1.05236,-2.29661
969,0.975499,-2.49226
970,0.933057,-2.41352
971,0.941675,-2.44579
972,0.948581,-2.38401
973,0.972328,-3.13994
974,0.959651,-2.1292
975,0.987699,-2.68083
976,0.992881,-2.52758
977,0.994648,-2.72302
978,1.04114,-2.78493
979,1.07319,-2.71369
980,1.03446,-2.6245
981,0.987248,-2.27082
982,0.961847,-3.12094
983,1.06478,-2.41083
984,1.19588,-2.67103
985,1.04944,-2.11924
986,1.08512,-2.9277
987,0.993235,-2.46657
988,0.947257,-2.50886
989,0.984996,-2.04825
990,1.04593,-2.72911
991,1.0351,-2.87453
992,1.00681,-2.24171
993,0.95473,-2.86494
994,1.14661,-2.21007
995,0.979898,-2.49163
996,1.01753,-2.76618
997,1.05157,-2.83765
998,0.994969,-2.92374
999,1.04458,-2.41983
