Step,AveragePressure,MuExcess
901,0.795135,-2.70604
902,0.763067,-2.27592
903,0.783867,-2.38668
904,0.778656,-2.5103
905,0.744806,-2.48041
906,0.805831,-2.13581
907,0.778601,-1.94663
908,0.79863,-2.92058
909,0.830103,-3.16177
910,0.885768,-3.02352
911,0.771519,-2.23322
912,0.844858,-2.74068
913,0.836957,-2.86348
914,0.691167,-2.60795
915,0.772795,-3.08721
916,0.739678,-2.72626
917,0.818296,-2.2066
918,0.828743,-2.39928
919,0.820406,-2.97554
920,0.780092,-3.19579
921,0.794637,-3.05349
922,0.780394,-3.13337
923,0.73687,-2.14918
924,0.808789,-2.55371
925,0.8105,-2.25379
926,0.767346,-2.48926
927,0.722569,-3.00046
928,0.759035,-2.78006
929,0.731113,-2.45922
930,0.744992,-3.04991
931,0.804347,-2.02256
932,0.721562,-1.85367
933,0.807234,-2.47171
934,0.742382,-2.35072
935,0.757101,-2.80164
936,0.787476,-1.9593
937,0.780582,-2.71489
938,0.760026,-2.92277
939,0.71453,-3.50289
940,0.76438,-2.1199
941,0.794995,-2.61417
942,0.950889,-2.65314
943,0.902717,-2.98867
944,0.974241,-2.86281
945,1.03504,-2.75276
946,0.8914,-2.62796
947,0.80784,-2.04446
948,0.744661,-2.25416
949,0.753988,-3.06535
950,0.714057,-2.15228
951,0.808675,-2.68429
952,0.753499,-2.87222
953,0.868593,-1.97639
954,0.863122,-2.70199
955,0.767669,-2.36772
956,0.76881,-2.6853
957,0.751709,-2.70934
958,0.819158,-2.53553
959,0.811108,-2.79552
960,0.85367,-2.46057
961,0.830251,-2.33752
962,0.788622,-3.00498
963,0.788035,-2.98011
964,0.761067,-2.60505
965,0.696924,-2.59473
966,0.794983,-2.61705
967,0.803446,-2.92372
968,0.788999,-2.61257
969,0.743815,-2.03623
970,0.836992,-2.40943
971,0.732493,-2.06073
972,0.75343,-3.08784
973,0.804109,-2.5894
974,0.79017,-3.09829
975,0.787019,-2.51017
976,0.809118,-2.5284
977,0.791918,-2.02124
978,0.799836,-2.64767
979,0.806925,-3.41635
980,0.81238,-3.11293
981,0.830896,-2.58465
982,0.738869,-2.64323
983,0.756249,-2.59865
984,0.763392,-3.41604
985,0.729973,-3.13085
986,0.779608,-1.93131
987,0.827656,-2.50879
988,0.831095,-2.12734
989,0.814769,-2.48224
990,0.748564,-1.87428
991,0.750304,-2.43188
992,0.824258,-2.66109
993,0.757743,-2.5342
994,0.75769,-2.77939
995,0.752513,-2.53595
996,0.733651,-2.84354
997,0.757988,-2.63815
998,0.859348,-1.53158
999,0.816529,-2.0998
