Step,AveragePressure,MuExcess
901,-0.0185509,-2.83176
902,-0.047069,-2.76042
903,-0.0102337,-2.33554
904,0.0601728,-2.11358
905,-0.0778211,-2.10161
906,0.0224469,-2.62844
907,0.0072856,-2.72358
908,0.0238283,-3.50098
909,0.0602883,-2.10971
910,-0.0124455,-2.97606
911,-0.0574758,-1.77489
912,-0.0535281,-2.35083
913,-0.0361765,-2.55343
914,-0.0680936,-2.16457
915,-0.0716044,-3.8366
916,0.00205976,-2.97241
917,0.0286659,-2.69825
918,0.0178133,-2.05591
919,0.0328168,-2.06048
920,0.0203866,-2.81386
921,0.0309399,-3.05891
922,-0.0535844,-1.94403
923,-0.0923532,-2.2959
924,-0.0750286,-2.80227
925,-0.0721264,-1.91634
926,-0.0607242,-2.7927
927,-0.0503468,-3.6227
928,-0.0348943,-3.00352
929,-0.07166,-2.5531
930,-0.0651004,-2.18405
931,0.00434749,-2.40177
932,0.0186399,-2.90765
933,-0.0111409,-2.47947
934,0.0471175,-2.23836
935,-0.0803021,-2.87976
936,-0.0574455,-3.00005
937,-0.0698713,-2.30602
938,0.0185783,-2.57985
939,0.07037,-2.66639
940,-0.057911,-2.6499
941,-0.0157535,-2.6094
942,0.00205,-2.90343
943,0.00246052,-2.04788
944,-0.0125404,-3.5379
945,-0.0334655,-2.51782
946,-0.0777475,-2.69405
947,-0.0843696,-2.47929
948,-0.0222388,-1.78142
949,0.0324892,-2.69428
950,0.0597713,-1.86446
951,0.0399972,-2.2311
952,-0.0476753,-2.14232
953,-0.0109532,-2.14487
954,0.059495,-2.80681
955,0.0370586,-2.03777
956,0.0423272,-3.34905
957,-0.0294463,-2.36904
958,0.0544047,-2.69596
959,-0.0588554,-2.88645
960,-0.0581619,-2.6006
961,-0.0652316,-3.60344
962,-0.0703828,-2.75324
963,-0.0333332,-3.52128
964,0.0259244,-2.64613
965,0.039459,-2.96835
966,-0.00136581,-3.85662
967,0.0162092,-2.92122
968,0.0821157,-3.14819
969,0.14201,-2.37368
970,0.0394922,-2.58901
971,0.0210991,-4.66111
972,0.0562472,-2.91562
973,0.0739754,-3.46693
974,0.145315,-3.28523
975,0.189923,-2.4525
976,0.213954,-3.47532
977,0.11371,-3.76368
978,0.0585529,-2.54213
979,0.199955,-2.23317
980,0.0680274,-2.30643
981,0.0289121,-2.30755
982,0.0565414,-3.07456
983,0.0567215,-2.74022
984,0.0460033,-2.28755
985,0.0191325,-2.37613
986,0.0883496,-1.80267
987,0.00789547,-2.21221
988,0.0908641,-2.60643
989,-0.00953822,-2.79139
990,0.0204544,-2.58792
991,-0.00896974,-3.32798
992,0.0424523,-2.15039
993,0.0189411,-2.38538
994,0.0133639,-2.98543
995,-0.00136085,-1.92663
996,0.00988183,-2.16076
997,-0.0384969,-3.11341
998,0.0515052,-2.35728
999,-0.00413542,-2.09308
