Step,AveragePressure,MuExcess
901,0.121719,-3.03338
902,0.0248557,-2.38288
903,0.0402013,-2.70178
904,0.0862114,-2.86592
905,0.107342,-2.59103
906,0.0524466,-1.87165
907,0.0820334,-2.71671
908,0.141021,-2.27464
909,0.130471,-2.46407
910,0.129308,-2.06031
911,0.0787485,-2.01179
912,0.0356653,-2.51277
913,0.0314468,-2.83366
914,0.150568,-2.45715
915,0.00498548,-2.759
916,-0.0127221,-1.31753
917,0.174691,-2.3618
918,0.223657,-2.62453
919,0.103261,-1.65651
920,0.0426628,-2.37506
921,0.0337564,-2.05021
922,0.0317316,-2.11641
923,0.0108471,-1.81051
924,0.0389001,-1.82755
925,0.0255151,-2.17598
926,0.0365015,-2.53116
927,0.0909229,-1.94072
928,0.211952,-2.39655
929,0.213573,-2.3757
930,0.0891435,-2.71861
931,0.049493,-2.55099
932,0.0317707,-2.49543
933,0.0430041,-1.98172
934,0.0835876,-2.99665
935,0.106123,-2.9969
936,0.0924069,-2.08752
937,0.0299419,-2.00329
938,0.0227898,-2.53287
939,0.0978632,-3.24791
940,0.104168,-2.30101
941,0.0529077,-2.30127
942,-0.00518784,-3.10833
943,0.133792,-2.82752
944,0.123992,-2.91663
945,0.054641,-2.73761
946,0.0877885,-2.44372
947,0.0903633,-3.11621
948,0.202419,-2.45534
949,0.174065,-2.72604
950,0.16667,-4.65021
951,0.188293,-3.19341
952,0.0388023,-1.88139
953,0.0971567,-2.57849
954,0.0833589,-3.52075
955,0.0593049,-3.34814
956,0.0497479,-3.00165
957,0.113971,-2.58115
958,0.182811,-2.81951
959,0.0415671,-2.66954
960,0.0412283,-1.7485
961,0.0805585,-3.12159
962,0.0586085,-2.37432
963,0.0602433,-1.90239
964,0.0358807,-2.3491
965,0.0784826,-2.75914
966,0.0920323,-2.42765
967,0.110268,-2.57043
968,0.125742,-2.21858
969,0.207638,-2.50315
970,0.267065,-1.99355
971,0.119913,-2.11054
972,0.189007,-2.55982
973,0.0921424,-2.56309
974,0.0599896,-2.10124
975,0.109213,-3.01127
976,0.033856,-2.04061
977,0.0407171,-2.40195
978,0.0510943,-2.56054
979,0.0576828,-2.49581
980,0.0384023,-2.04065
981,0.0765198,-2.72833
982,0.0658668,-2.68604
983,0.0903326,-1.7288
984,0.122325,-1.96188
985,0.0900203,-2.68379
986,0.153968,-1.96055
987,0.241812,-2.67776
988,0.062872,-1.63665
989,0.115955,-2.54121
990,0.0974209,-3.103
991,0.0539535,-1.28717
992,0.16564,-1.6995
993,0.18091,-2.18524
994,0.291473,-1.87623
995,0.247616,-2.6451
996,0.123275,-2.20087
997,0.184331,-2.32076
998,0.179679,-2.19351
999,0.128363,-1.98038
