Step,AveragePressure,MuExcess
901,1.25695,-2.17065
902,1.27015,-2.71738
903,1.26446,-3.04611
904,1.36364,-2.14684
905,1.22854,-2.66028
906,1.25279,-2.69776
907,1.14129,-2.77431
908,1.24363,-2.11735
909,1.19947,-1.60145
910,1.1447,-2.24826
911,1.098,-3.03894
912,1.15006,-2.11033
913,1.12945,-2.5068
914,1.10454,-2.30999
915,1.11702,-2.56793
916,1.18282,-2.74255
917,1.14749,-2.63461
918,1.13507,-1.50453
919,1.11043,-2.19291
920,1.119,-1.86428
921,1.137,-1.69023
922,1.12826,-2.72038
923,1.13524,-2.68945
924,1.09728,-2.1558
925,1.2112,-2.63125
926,1.09763,-2.52885
927,1.05196,-2.25037
928,1.05717,-2.28663
929,1.08551,-2.50591
930,1.04202,-2.73156
931,1.04595,-2.55005
932,1.05451,-2.60363
933,1.07591,-2.40117
934,1.10549,-3.29481
935,1.18006,-2.49656
936,1.14312,-2.74388
937,1.11557,-2.32803
938,1.13223,-2.11894
939,1.13829,-2.40265
940,1.12752,-2.95425
941,1.05999,-1.88964
942,1.05059,-2.60417
943,1.14407,-2.1123
944,1.11931,-2.39883
945,1.17892,-2.16172
946,1.31747,-2.67401
947,1.01945,-2.53133
948,1.08251,-3.63755
949,1.30572,-2.73096
950,1.11108,-3.42056
951,1.0871,-2.5231
952,1.09724,-2.75968
953,1.1373,-2.77487
954,1.1092,-2.48015
955,1.10729,-1.83439
956,1.08673,-2.14773
957,1.12485,-2.8181
958,1.15053,-2.5528
959,1.23224,-3.59712
960,1.08359,-2.35313
961,1.08456,-3.40118
962,1.21767,-2.77065
963,1.21174,-2.67787
964,1.09831,-2.37811
965,1.14009,-2.49186
966,1.09668,-2.42575
967,1.09031,-2.34447
968,1.10604,-3.64714
969,1.18051,-3.03965
970,1.09877,-2.40519
971,1.11296,-2.29783
972,1.14051,-2.37958
973,1.13283,-2.15207
974,1.18282,-2.08522
975,1.2335,-2.24588
976,1.14944,-2.6766
977,1.16367,-2.05051
978,1.0935,-2.52198
979,1.07187,-2.52094
980,1.20926,-2.93955
981,1.16059,-2.62218
982,1.24089,-3.27039
983,1.16655,-2.43981
984,1.09767,-2.63454
985,1.15255,-2.88916
986,1.15925,-2.81385
987,1.11665,-1.92157
988,1.1107,-2.80724
989,1.09536,-2.92014
990,1.09379,-1.75962
991,1.14912,-2.66625
992,1.06442,-2.90572
993,1.11136,-3.14099
994,1.13615,-2.50852
995,1.08848,-2.15205
996,1.15305,-2.82884
997,1.15694,-2.9073
998,1.19787,-2.10771
999,1.22847,-2.4196
