Step,AveragePressure,MuExcess
901,0.946695,-2.81512
902,0.907619,-2.15141
903,0.882955,-2.47208
904,0.912255,-2.56255
905,0.972625,-2.77021
906,0.928474,-2.99864
907,1.08213,-1.96191
908,0.9666,-2.58906
909,0.947672,-2.87839
910,0.950968,-2.21952
911,0.947937,-2.39362
912,0.970327,-2.498
913,1.07496,-2.94947
914,1.04539,-2.72031
915,0.948038,-2.62026
916,1.00161,-2.75701
917,1.00294,-2.64148
918,0.971387,-2.24477
919,0.952528,-2.7129
920,0.933142,-3.0084
921,0.944776,-3.3108
922,0.961924,-2.48105
923,0.984633,-2.28677
924,0.945398,-2.88127
925,0.901133,-1.95583
926,0.905522,-2.04218
927,0.942312,-2.24034
928,0.84122,-2.58786
929,0.922519,-3.05945
930,0.924815,-3.14047
931,1.16733,-2.68287
932,0.983779,-2.32762
933,1.04501,-3.28185
934,1.06699,-3.23832
935,0.95036,-1.3251
936,0.99803,-2.91301
937,1.00302,-2.5733
938,0.961259,-2.52163
939,0.960769,-2.01434
940,1.0201,-2.66838
941,0.996611,-2.44993
942,0.98314,-3.47181
943,0.958688,-3.13662
944,0.975188,-2.29036
945,1.02078,-2.3985
946,0.968812,-2.77093
947,1.01129,-2.31202
948,0.943982,-2.11565
949,0.986041,-1.912
950,1.01208,-1.95354
951,0.9793,-3.32136
952,0.988078,-3.31206
953,0.942497,-3.07825
954,0.949289,-2.69006
955,1.04785,-2.30317
956,0.940163,-2.41434
957,0.982546,-2.54072
958,1.16234,-3.10949
959,1.04726,-3.05161
960,1.08014,-1.63008
961,1.22969,-3.23037
962,1.01067,-2.16234
963,1.06311,-3.31509
964,1.00532,-3.81412
965,1.01966,-2.28257
966,1.07677,-3.13697
967,0.881128,-2.02747
968,0.913134,-2.84248
969,0.884361,-2.38842
970,0.95816,-2.37662
971,1.0404,-2.22527
972,0.986346,-2.49796
973,0.886888,-2.40258
974,0.875391,-1.97991
975,0.913581,-2.7791
976,0.911463,-3.25835
977,0.938228,-2.97924
978,0.938858,-1.98357
979,0.984307,-2.10494
980,1.01619,-1.78838
981,1.08498,-3.13156
982,1.08112,-2.71717
983,1.02129,-1.85876
984,1.0059,-2.5811
985,0.911893,-2.42493
986,0.900058,-2.53336
987,0.990586,-2.13093
988,1.05375,-2.66616
989,0.964317,-2.15202
990,0.898602,-2.93896
991,0.944572,-3.34837
992,0.996448,-2.6329
993,0.864623,-3.26058
994,0.911591,-2.33303
995,0.938131,-2.33117
996,1.04983,-2.70818
997,1.00077,-3.60421
998,0.962557,-3.03717
999,1.08989,-2.34245
