Step,AveragePressure,MuExcess
901,0.451609,-2.96283
902,0.590364,-2.80278
903,0.51914,-2.61227
904,0.486372,-3.35491
905,0.521761,-2.44174
906,0.47914,-3.09525
907,0.458645,-2.56559
908,0.395064,-1.95866
909,0.381797,-3.42874
910,0.345499,-2.73782
911,0.394226,-3.00814
912,0.427569,-2.06207
913,0.452901,-2.15408
914,0.411446,-2.90092
915,0.410716,-2.61955
916,0.433396,-2.68961
917,0.476565,-2.24965
918,0.423739,-2.0404
919,0.443586,-2.22113
920,0.447138,-3.63617
921,0.45057,-2.30393
922,0.466192,-2.35177
923,0.337643,-2.29028
924,0.329606,-2.49511
925,0.421831,-3.15853
926,0.454968,-2.07928
927,0.370621,-3.52435
928,0.335732,-2.73104
929,0.48543,-2.27658
930,0.480628,-2.13431
931,0.378257,-2.36113
932,0.401534,-2.88055
933,0.382214,-2.46434
934,0.349948,-2.39416
935,0.347233,-2.33376
936,0.347478,-2.2155
937,0.415821,-2.09116
938,0.511878,-3.02708
939,0.439709,-2.19415
940,0.413117,-2.57992
941,0.441958,-2.41085
942,0.381794,-2.12659
943,0.39037,-2.53493
944,0.39772,-2.25749
945,0.460584,-2.43707
946,0.423838,-1.85925
947,0.416396,-2.52597
948,0.470166,-2.73772
949,0.44897,-2.54445
950,0.489763,-2.97165
951,0.531162,-2.2385
952,0.525132,-2.55281
953,0.473838,-2.23902
954,0.42772,-2.86084
955,0.438912,-2.91295
956,0.375701,-2.30985
957,0.382898,-2.158
958,0.416119,-2.22644
959,0.415402,-2.54407
960,0.400744,-2.92932
961,0.393617,-2.35031
962,0.418089,-2.95735
963,0.399258,-2.63656
964,0.537828,-1.76599
965,0.478095,-2.7904
966,0.374383,-2.22477
967,0.337259,-2.84749
968,0.372425,-2.34728
969,0.384537,-2.62402
970,0.425444,-2.15245
971,0.429936,-2.16687
972,0.46034,-2.26328
973,0.44026,-3.01164
974,0.438345,-2.70519
975,0.443338,-2.63917
976,0.4305,-2.60201
977,0.448768,-2.78752
978,0.479114,-2.27119
979,0.475791,-2.88424
980,0.474225,-2.2891
981,0.428965,-2.2207
982,0.488653,-2.91434
983,0.545201,-2.25233
984,0.436444,-2.37961
985,0.444446,-2.91846
986,0.418732,-2.72485
987,0.408965,-1.75893
988,0.428134,-2.68495
989,0.449274,-2.61453
990,0.391125,-2.75458
991,0.381023,-3.41314
992,0.427355,-2.40698
993,0.471824,-2.18349
994,0.468258,-2.61476
995,0.477389,-3.52415
996,0.535439,-3.05449
997,0.392675,-2.27856
998,0.401012,-2.11122
999,0.380193,-2.39441
