Step,AveragePressure,MuExcess
901,0.150938,-2.98167
902,0.206096,-2.62134
903,0.277647,-2.42778
904,0.293974,-2.22931
905,0.171712,-2.24516
906,0.0534596,-3.40009
907,0.0489716,-2.25052
908,0.0854161,-2.49125
909,0.0505875,-2.38161
910,0.0598869,-2.23684
911,0.0559679,-2.09511
912,0.0340322,-2.58173
913,0.0176793,-2.54442
914,0.192564,-2.52468
915,0.0290076,-2.92136
916,0.197041,-2.06636
917,0.0637185,-2.94982
918,0.158446,-1.52032
919,0.089467,-3.68242
920,0.105273,-2.23705
921,0.0134757,-1.48487
922,0.0327393,-2.85026
923,0.0271183,-2.50238
924,0.0945609,-2.15793
925,0.0232164,-2.40864
926,0.0493199,-2.40335
927,0.10664,-2.45362
928,0.125195,-2.01301
929,0.0912652,-2.71479
930,0.147566,-2.84368
931,0.182194,-2.43222
932,0.12007,-2.9155
933,0.147242,-2.98153
934,0.0429382,-2.7174
935,0.123002,-3.48499
936,0.105467,-1.93516
937,0.101752,-2.25078
938,0.127451,-2.48108
939,0.154971,-2.22096
940,0.150515,-3.02774
941,0.0590564,-2.45337
942,0.00876612,-2.55577
943,-0.0123821,-2.24984
944,0.0577964,-2.47049
945,0.0401822,-3.71065
946,0.00805412,-2.36873
947,0.0137284,-2.85721
948,0.0863208,-2.46633
949,0.0786898,-2.80471
950,0.052507,-2.37122
951,0.0909312,-3.42869
952,0.155325,-2.92333
953,0.130642,-1.7492
954,0.0937729,-3.07722
955,0.211861,-2.25097
956,0.25891,-2.56131
957,0.15989,-2.66867
958,0.0901228,-2.64964
959,0.00912018,-2.45528
960,0.00939326,-2.886
961,-0.0302848,-3.23305
962,-0.0306482,-2.67746
963,-0.028338,-2.17311
964,0.0546805,-2.06058
965,0.00215187,-2.30251
966,0.114742,-2.17595
967,0.181161,-2.54381
968,0.209848,-3.02009
969,0.1514,-2.63891
970,0.155224,-2.44382
971,0.116145,-2.48266
972,0.147639,-2.74652
973,0.133986,-3.10205
974,0.130724,-2.23608
975,0.112442,-2.7177
976,0.112965,-2.69291
977,0.26816,-2.48174
978,0.082652,-2.33007
979,0.043908,-2.34886
980,0.0855222,-2.29388
981,0.000230347,-3.17553
982,0.0595473,-3.9036
983,0.0158799,-2.40181
984,0.0439482,-2.68392
985,0.028098,-3.00597
986,0.153682,-1.92257
987,0.174189,-2.47816
988,0.101708,-2.64108
989,0.106147,-3.22108
990,0.0509648,-4.21445
991,0.0544362,-2.80866
992,0.0713773,-2.96985
993,0.106754,-2.30697
994,0.0846481,-2.33487
995,0.0217089,-3.54392
996,0.00747366,-2.41712
997,0.0829186,-2.66265
998,0.0568044,-2.3544
999,0.0380859,-2.2173
