Step,AveragePressure,MuExcess
901,0.234033,-2.16564
902,0.0962213,-2.27257
903,0.114076,-2.9046
904,0.140599,-2.49096
905,0.134526,-2.00717
906,0.155603,-2.80781
907,0.192142,-2.53739
908,0.127381,-2.62925
909,0.121322,-1.88352
910,0.134953,-3.43373
911,0.202326,-2.69683
912,0.178974,-1.88129
913,0.122231,-3.73396
914,0.169627,-3.1146
915,0.110005,-3.06397
916,0.160721,-3.28895
917,0.14368,-2.3582
918,0.179762,-1.81034
919,0.153683,-2.55775
920,0.2073,-2.87113
921,0.223558,-2.71543
922,0.347405,-3.29811
923,0.216048,-2.91005
924,0.234322,-2.50587
925,0.262905,-2.2557
926,0.235834,-2.82515
927,0.209497,-2.40561
928,0.270669,-2.44911
929,0.175976,-2.32232
930,0.224147,-2.83728
931,0.159741,-2.93171
932,0.183447,-1.97579
933,0.271352,-2.63535
934,0.115579,-2.33345
935,0.169655,-2.7324
936,0.168827,-2.99806
937,0.160358,-2.28987
938,0.133901,-2.24992
939,0.176842,-3.19297
940,0.112226,-2.9182
941,0.166291,-3.19176
942,0.153479,-2.57035
943,0.200251,-2.86773
944,0.201434,-1.65303
945,0.195603,-2.75926
946,0.258388,-2.15684
947,0.296541,-3.02576
948,0.255825,-2.52312
949,0.224909,-3.14906
950,0.285918,-2.41222
951,0.348754,-2.89648
952,0.215443,-2.69484
953,0.181937,-3.09175
954,0.355422,-3.04376
955,0.184032,-2.63204
956,0.176239,-3.37632
957,0.146085,-2.38878
958,0.199415,-2.31118
959,0.160517,-2.78974
960,0.171055,-2.392
961,0.194105,-2.49
962,0.22834,-3.44412
963,0.168115,-2.853
964,0.203097,-2.83936
965,0.109826,-2.1554
966,0.140145,-2.94952
967,0.131822,-3.4926
968,0.12494,-2.2684
969,0.15501,-3.1766
970,0.141008,-2.31468
971,0.0805103,-2.68562
972,0.0932076,-3.32054
973,0.128074,-3.10699
974,0.196546,-2.02777
975,0.267548,-3.23184
976,0.225735,-2.73665
977,0.184175,-2.80496
978,0.279976,-2.38746
979,0.223587,-2.24905
980,0.138058,-3.43395
981,0.1509,-2.89231
982,0.163081,-2.25921
983,0.129261,-2.01199
984,0.124848,-2.07799
985,0.158037,-2.25886
986,0.16848,-2.60056
987,0.192998,-2.8345
988,0.175684,-2.86432
989,0.180402,-3.02451
990,0.132228,-2.58519
991,0.16242,-2.72197
992,0.247075,-2.65327
993,0.190384,-2.25069
994,0.118779,-2.95561
995,0.136612,-2.38851
996,0.171269,-2.50128
997,0.11501,-2.60097
998,0.152059,-2.31155
999,0.1546,-1.99614
