Step,AveragePressure,MuExcess
901,1.08093,-2.31213
902,0.94346,-3.44171
903,0.962816,-2.2743
904,0.901666,-2.79603
905,0.91917,-2.94132
906,0.901215,-2.5089
907,0.898504,-1.91964
908,0.912113,-2.81586
909,0.916285,-2.83637
910,0.854007,-2.19593
911,0.85955,-2.24989
912,0.831949,-2.77755
913,0.94179,-3.14842
914,0.912972,-3.17138
915,0.95977,-2.59174
916,0.900529,-2.22781
917,0.902648,-2.30887
918,0.931584,-3.01668
919,0.910693,-2.42026
920,0.910799,-2.32074
921,0.896431,-2.66236
922,0.910345,-1.77615
923,0.896137,-2.80838
924,0.937752,-3.07952
925,0.961188,-1.87154
926,0.987714,-3.40398
927,0.973246,-2.46968
928,1.0033,-3.08498
929,0.917486,-2.41551
930,0.983309,-3.27181
931,1.02715,-2.5669
932,1.02272,-3.35663
933,0.960499,-2.12982
934,0.875952,-2.39047
935,0.91323,-2.47916
936,0.883712,-2.13241
937,0.904772,-2.11713
938,0.948772,-2.35361
939,0.963924,-2.52674
940,0.944571,-2.50961
941,0.993734,-2.11087
942,0.975176,-1.9822
943,1.09633,-3.1137
944,1.10504,-3.336
945,1.12857,-2.48067
946,1.07736,-2.16156
947,1.17186,-2.45598
948,1.01839,-2.72973
949,0.950879,-2.22513
950,1.02657,-2.11365
951,0.958721,-2.6421
952,0.936873,-3.37235
953,0.941884,-3.07199
954,0.912301,-2.45199
955,0.941476,-2.18711
956,0.922995,-2.36158
957,0.980499,-2.89838
958,0.937705,-2.52157
959,0.941207,-1.95045
960,0.924155,-1.68197
961,1.00641,-2.69767
962,0.842006,-2.75498
963,0.846345,-2.52167
964,0.844173,-2.32279
965,0.84953,-2.12761
966,0.948815,-2.13213
967,0.99182,-3.97397
968,0.962347,-2.95441
969,0.837688,-2.6411
970,0.882813,-2.95479
971,0.936649,-2.5581
972,0.967082,-2.78343
973,0.929161,-1.76564
974,0.904708,-2.3256
975,0.890686,-1.86811
976,0.971385,-2.36445
977,0.989471,-2.24019
978,0.955258,-2.12878
979,0.893754,-2.40435
980,0.875619,-2.12045
981,0.873957,-3.0255
982,1.01104,-3.26844
983,0.944085,-2.36198
984,0.840666,-3.97178
985,0.838657,-1.78783
986,0.883095,-2.89007
987,0.899503,-2.33516
988,0.887619,-2.56761
989,0.895027,-2.62703
990,0.93833,-2.66884
991,0.910266,-2.96461
992,0.837502,-2.9662
993,0.850266,-2.55435
994,0.86401,-2.63921
995,0.805716,-1.87112
996,0.889961,-3.1931
997,0.855776,-1.8468
998,0.847122,-2.4544
999,0.91088,-2.30962
