Step,AveragePressure,MuExcess
901,1.0007,-2.04967
902,0.880941,-2.58304
903,0.842394,-2.35544
904,0.895375,-1.96647
905,0.859667,-3.28634
906,0.88698,-3.83695
907,0.923056,-2.03062
908,0.881327,-2.5214
909,0.838661,-1.96197
910,0.909154,-2.2478
911,1.19745,-3.77665
912,1.25381,-2.50541
913,1.14932,-3.1834
914,1.17935,-3.49104
915,1.19128,-3.49543
916,0.955228,-3.47185
917,1.0254,-2.7128
918,1.03,-2.06129
919,0.958779,-2.26561
920,0.963752,-2.40391
921,0.933843,-2.24512
922,0.972285,-2.08666
923,0.893524,-2.60409
924,0.872838,-2.47362
925,0.855784,-2.18831
926,0.94707,-2.24627
927,1.06402,-2.46695
928,0.952662,-3.78936
929,0.963527,-2.38459
930,0.96716,-3.49467
931,0.901934,-2.10378
932,0.816049,-2.66023
933,0.871163,-2.79536
934,0.859672,-2.50777
935,0.836629,-2.68516
936,0.890813,-2.94117
937,0.867663,-2.39954
938,0.855625,-2.85231
939,0.904328,-2.89224
940,0.984808,-2.97166
941,0.93056,-2.5279
942,0.879999,-2.14827
943,0.856143,-1.38012
944,0.858092,-2.60377
945,0.9338,-2.26091
946,0.934611,-2.83631
947,0.876068,-2.22767
948,0.979124,-3.12465
949,0.988628,-2.60634
950,0.905795,-2.71536
951,0.899925,-2.3319
952,0.901152,-2.58325
953,0.902876,-2.67533
954,0.876987,-2.49558
955,0.910076,-2.17406
956,0.944271,-2.35109
957,0.900998,-2.82305
958,0.862368,-2.65016
959,0.87317,-2.51183
960,0.930847,-2.18614
961,0.902451,-2.77878
962,0.862875,-3.3199
963,0.918106,-2.89425
964,0.911004,-3.45392
965,0.91692,-2.12356
966,0.88472,-2.85347
967,0.83465,-2.91908
968,0.830958,-2.75371
969,0.91176,-2.68284
970,0.83208,-2.05729
971,0.985723,-2.26829
972,0.994968,-2.24793
973,1.00006,-2.49378
974,0.96051,-2.43902
975,0.904429,-1.90464
976,0.923098,-2.01977
977,0.93055,-2.8793
978,0.97328,-2.99371
979,0.872374,-2.51995
980,1.06732,-2.44618
981,1.00428,-2.60967
982,0.994716,-2.6866
983,0.907704,-2.99887
984,0.945906,-2.82713
985,0.888704,-2.96829
986,0.893672,-2.48316
987,0.84929,-2.71393
988,0.816726,-2.86021
989,0.898698,-1.93777
990,0.830807,-3.26625
991,0.867761,-2.6591
992,0.887836,-2.87296
993,0.942065,-2.96555
994,0.995773,-2.48022
995,0.843089,-2.82957
996,0.971519,-2.69356
997,1.01488,-2.15477
998,1.01562,-2.48738
999,0.978441,-2.86752
