Step,AveragePressure,MuExcess
901,0.165944,-2.28324
902,0.191386,-1.94746
903,0.15531,-1.85588
904,0.159378,-2.49498
905,0.21062,-2.32191
906,0.160923,-2.12808
907,0.19729,-3.24586
908,0.23239,-2.47991
909,0.323683,-2.57139
910,0.344135,-2.8532
911,0.208541,-2.06247
912,0.191725,-1.8582
913,0.228174,-2.34344
914,0.1943,-1.90208
915,0.236355,-2.27566
916,0.238697,-2.55324
917,0.221033,-2.72667
918,0.208889,-2.53713
919,0.239116,-2.59179
920,0.283547,-3.36143
921,0.253838,-2.58227
922,0.212792,-2.23296
923,0.158876,-2.06374
924,0.152817,-3.52308
925,0.187636,-2.9588
926,0.266899,-2.2482
927,0.231053,-1.528
928,0.203909,-2.25726
929,0.186626,-3.79162
930,0.197309,-2.27233
931,0.19128,-2.63856
932,0.219982,-3.34068
933,0.286598,-2.23706
934,0.2832,-2.89908
935,0.233743,-2.49472
936,0.308207,-2.90732
937,0.188265,-2.43801
938,0.156307,-2.62484
939,0.15394,-2.93304
940,0.186061,-2.40364
941,0.211588,-3.21335
942,0.198808,-1.77572
943,0.22328,-2.33418
944,0.382442,-2.15848
945,0.462465,-2.82328
946,0.446322,-3.32922
947,0.361405,-2.64491
948,0.277384,-2.49341
949,0.259134,-2.4984
950,0.344215,-2.01642
951,0.320444,-2.78375
952,0.243288,-2.56924
953,0.197449,-2.70464
954,0.190711,-2.6461
955,0.191815,-2.31553
956,0.181937,-2.59192
957,0.243208,-1.88308
958,0.198239,-2.73462
959,0.283638,-2.24709
960,0.306327,-3.25148
961,0.208852,-2.55209
962,0.18052,-2.41044
963,0.181309,-3.18752
964,0.159887,-2.8086
965,0.138375,-2.23566
966,0.195299,-3.08274
967,0.14256,-2.22873
968,0.175064,-2.74432
969,0.201066,-3.28035
970,0.218924,-2.58225
971,0.216254,-2.45268
972,0.225495,-2.6005
973,0.18554,-2.69694
974,0.163871,-2.26489
975,0.194765,-2.72785
976,0.177201,-2.43978
977,0.218905,-3.14847
978,0.240986,-3.36733
979,0.33808,-2.64899
980,0.294348,-2.2687
981,0.228369,-3.95704
982,0.221966,-2.70728
983,0.257822,-2.00795
984,0.260807,-2.11949
985,0.224119,-3.71387
986,0.167731,-2.67752
987,0.190498,-2.3599
988,0.181071,-1.9884
989,0.204436,-2.29794
990,0.146496,-2.19786
991,0.163265,-2.19662
992,0.150343,-3.18535
993,0.126733,-2.05378
994,0.145345,-2.51899
995,0.145082,-2.39865
996,0.126926,-2.16341
997,0.0883597,-2.6753
998,0.0758492,-2.80696
999,0.0627905,-2.14779
