Step,AveragePressure,MuExcess
901,0.326882,-1.87553
902,0.243703,-2.48199
903,0.209122,-2.60448
904,0.226847,-2.16616
905,0.172607,-2.58706
906,0.213318,-3.14396
907,0.171217,-3.20289
908,0.160049,-2.48878
909,0.33203,-1.99213
910,0.204936,-2.35052
911,0.196567,-2.57605
912,0.215951,-2.66996
913,0.287151,-2.87847
914,0.143708,-2.65483
915,0.0878801,-2.71499
916,0.0620533,-3.16182
917,0.012929,-2.46112
918,0.0331216,-2.49353
919,0.0499258,-3.48189
920,0.0542198,-2.88906
921,0.0286599,-2.76649
922,0.0237645,-3.26241
923,0.0797665,-2.41391
924,0.139758,-2.85548
925,0.126261,-2.48773
926,0.090298,-2.69157
927,0.164582,-1.87681
928,0.0182446,-2.2699
929,0.0653848,-2.76224
930,0.0420749,-2.99708
931,0.0831351,-1.99994
932,0.0247778,-2.30803
933,0.0666401,-6.09124
934,0.0710416,-2.56131
935,0.0598913,-1.89649
936,0.064422,-3.2861
937,0.0635135,-2.76206
938,0.13401,-2.53808
939,0.109615,-2.62498
940,0.130148,-3.28732
941,0.125621,-3.5346
942,0.0311173,-3.35281
943,0.0376339,-3.41752
944,0.0111422,-2.69359
945,0.0447173,-3.30618
946,0.029482,-1.66395
947,0.101797,-2.55379
948,0.0720685,-2.27895
949,0.0802731,-3.36276
950,0.0370707,-1.33165
951,0.0167425,-2.6568
952,0.0512762,-2.78303
953,0.125765,-2.89941
954,0.0359993,-1.68294
955,0.0298056,-2.41717
956,0.143067,-2.24435
957,0.0993556,-2.80972
958,0.192637,-3.68682
959,0.24386,-2.11989
960,0.239058,-2.67703
961,0.153148,-1.94016
962,0.128504,-2.70121
963,0.167359,-1.70375
964,0.23123,-2.9801
965,0.189897,-2.89644
966,0.164662,-2.94209
967,0.126619,-1.84301
968,0.177601,-2.10762
969,0.145535,-2.03872
970,0.151385,-3.29111
971,0.163417,-2.96024
972,0.139871,-1.98488
973,0.103443,-1.52057
974,0.145763,-2.24825
975,0.107274,-1.80292
976,0.161257,-2.55606
977,0.141372,-2.80993
978,0.162837,-2.59084
979,0.12804,-1.62197
980,0.126643,-2.35668
981,0.209143,-2.56705
982,0.126526,-2.37868
983,0.124131,-2.91216
984,0.194412,-2.16108
985,0.155235,-2.28286
986,0.120785,-3.29453
987,0.0804135,-3.14083
988,0.139286,-2.61362
989,0.135776,-3.16927
990,0.136901,-2.03902
991,0.138794,-2.80422
992,0.142776,-1.96963
993,0.147812,-2.47068
994,0.0875204,-2.71997
995,0.086192,-3.05935
996,0.0605926,-2.19067
997,0.0603845,-2.34964
998,0.104855,-3.11809
999,0.221336,-1.65367
