Step,AveragePressure,MuExcess
901,0.657657,-2.75054
902,0.640891,-2.06565
903,0.620858,-2.35871
904,0.656314,-2.5341
905,0.65465,-2.48723
906,0.682026,-2.14623
907,0.727066,-2.60014
908,0.656453,-2.75444
909,0.617575,-2.46331
910,0.637347,-2.52826
911,0.663968,-2.15829
912,0.603733,-3.09499
913,0.600195,-3.09421
914,0.667985,-2.46231
915,0.644272,-2.46355
916,0.620098,-2.1377
917,0.724874,-3.43992
918,0.70821,-2.01251
919,0.618035,-3.42259
920,0.66242,-2.46293
921,0.622721,-2.31525
922,0.757126,-2.98383
923,0.702028,-2.55753
924,0.714463,-2.51201
925,0.691356,-2.83954
926,0.788397,-3.17785
927,0.733012,-2.69249
928,0.627171,-2.56307
929,0.628174,-2.11324
930,0.634524,-2.62375
931,0.652149,-2.34292
932,0.718262,-2.28337
933,0.660091,-2.45861
934,0.885886,-2.02281
935,0.848402,-3.39967
936,0.758494,-2.00913
937,0.663049,-2.85443
938,0.65894,-2.03688
939,0.57957,-2.49252
940,0.581232,-2.61885
941,0.604734,-2.30376
942,0.64758,-3.26738
943,0.692641,-2.23746
944,0.749654,-3.02438
945,0.809234,-2.59681
946,0.703884,-1.94845
947,0.620164,-2.65712
948,0.593135,-2.28678
949,0.643632,-2.46466
950,0.646628,-2.69201
951,0.787341,-2.29925
952,0.751751,-3.26695
953,0.720473,-2.32627
954,0.685932,-2.51231
955,0.639743,-1.8876
956,0.689014,-2.38957
957,0.693142,-2.70374
958,0.751393,-3.40451
959,0.717804,-2.62777
960,0.619945,-2.63648
961,0.588849,-3.1447
962,0.635763,-2.58792
963,0.626644,-2.65397
964,0.671944,-2.46845
965,0.66146,-2.77984
966,0.686836,-2.59376
967,0.678922,-3.1175
968,0.681287,-2.93662
969,0.63458,-2.27969
970,0.672683,-3.56599
971,0.793282,-1.66903
972,0.780973,-2.25456
973,0.753476,-2.56622
974,0.760571,-2.50798
975,0.727899,-2.7416
976,0.658005,-2.92254
977,0.655978,-2.60934
978,0.700577,-3.03504
979,0.653937,-1.92638
980,0.634292,-3.40884
981,0.661959,-2.65828
982,0.672666,-2.73448
983,0.680859,-2.75389
984,0.636424,-2.65823
985,0.702934,-2.26079
986,0.718228,-2.79464
987,0.655562,-2.24989
988,0.673494,-2.41581
989,0.718244,-2.25718
990,0.640614,-2.8922
991,0.673292,-2.30485
992,0.663855,-2.39168
993,0.690332,-4.00852
994,0.682174,-2.5615
995,0.76593,-3.6087
996,0.709989,-2.47053
997,0.796678,-2.59573
998,0.742955,-2.1365
999,0.675089,-2.8128
