Step,AveragePressure,MuExcess
901,0.869638,-2.37172
902,0.90629,-2.56772
903,0.945273,-2.4718
904,0.950873,-2.47162
905,0.930252,-2.60031
906,0.848695,-3.19385
907,0.905237,-2.45558
908,0.87025,-1.21539
909,0.938007,-2.63988
910,0.878748,-2.27275
911,0.875653,-2.76275
912,0.852101,-2.74759
913,0.943805,-2.49048
914,0.945761,-2.88965
915,0.830084,-2.6122
916,0.869209,-2.30139
917,0.856169,-2.15674
918,0.865979,-3.35633
919,0.842318,-2.51044
920,0.885123,-4.15259
921,0.865847,-2.25241
922,0.903985,-3.42873
923,0.799252,-2.54906
924,0.774425,-2.43041
925,0.876128,-2.20689
926,0.764899,-2.11686
927,0.783324,-1.90648
928,0.837811,-2.78325
929,0.861303,-2.00451
930,0.845546,-2.54714
931,0.898204,-2.24477
932,0.964176,-2.58757
933,0.988983,-2.58609
934,0.97618,-2.9116
935,0.917994,-2.82534
936,0.840217,-2.46229
937,0.883148,-4.37279
938,0.894827,-3.02335
939,0.874992,-2.23167
940,0.853667,-2.93707
941,0.888038,-2.53175
942,0.906384,-2.20205
943,0.952505,-2.5186
944,0.983535,-2.25424
945,0.945964,-2.16079
946,0.957714,-2.34714
947,0.951382,-2.15855
948,0.887291,-2.23707
949,0.863506,-3.23956
950,0.923284,-2.65016
951,0.983769,-2.43586
952,0.825578,-2.35681
953,0.972724,-2.41896
954,1.03555,-2.46235
955,1.04495,-2.84294
956,0.981549,-2.12281
957,0.921881,-3.30935
958,0.837822,-3.25816
959,0.826158,-2.66202
960,0.803037,-2.65492
961,0.793786,-2.16431
962,0.796262,-2.22944
963,0.780598,-2.78044
964,0.79016,-1.96301
965,0.807338,-2.85332
966,0.836377,-2.58296
967,0.779807,-2.23056
968,0.773234,-1.87391
969,0.827137,-2.36875
970,0.81194,-2.125
971,0.857796,-2.3416
972,0.847815,-2.26572
973,0.905593,-1.67443
974,0.84071,-1.91142
975,0.862982,-2.85001
976,0.816527,-2.58502
977,0.811932,-3.21652
978,0.869165,-2.11441
979,0.947553,-2.24058
980,0.947139,-2.18791
981,0.920281,-2.58033
982,0.922528,-2.98712
983,0.926357,-2.84932
984,0.979247,-2.34136
985,0.923123,-2.93765
986,0.849461,-2.85568
987,0.820519,-2.9363
988,0.774998,-2.31209
989,0.859323,-2.72059
990,0.866403,-3.2194
991,0.896117,-2.3387
992,0.877923,-2.55731
993,0.9098,-2.67189
994,0.837436,-2.66718
995,0.846979,-1.84184
996,0.836324,-3.48597
997,0.892033,-2.34727
998,0.878476,-2.83437
999,0.906419,-2.66325
