Step,AveragePressure,MuExcess
901,0.99018,-3.00609
902,0.915594,-4.19347
903,0.906847,-1.82857
904,0.976024,-2.67327
905,0.892403,-2.17613
906,0.875959,-2.63652
907,0.830151,-4.11659
908,0.878333,-2.19723
909,0.980129,-3.1134
910,0.914553,-2.59851
911,0.83027,-2.40306
912,0.862653,-2.10163
913,0.858956,-2.45457
914,0.87313,-2.04041
915,0.835573,-2.39604
916,0.912704,-2.6916
917,0.87644,-2.48114
918,0.818037,-2.40754
919,0.830144,-2.6074
920,0.929259,-2.56934
921,0.909395,-2.89502
922,0.827942,-2.76669
923,0.852438,-1.98016
924,0.875281,-2.34756
925,0.885416,-2.24185
926,0.852991,-3.30674
927,0.905901,-2.26214
928,0.892763,-3.18605
929,0.901231,-2.19812
930,0.945661,-3.37738
931,0.810872,-3.50366
932,0.89543,-2.30088
933,0.902604,-3.04816
934,0.871197,-3.00203
935,0.863015,-2.26126
936,0.80678,-2.54721
937,0.815666,-1.98244
938,0.873594,-2.40894
939,0.883391,-2.71031
940,0.95686,-2.54247
941,0.949015,-2.34811
942,0.99763,-2.063
943,1.00385,-3.54158
944,0.865807,-2.4152
945,0.834273,-2.28157
946,0.842167,-1.97593
947,0.772619,-2.90216
948,0.797586,-2.83605
949,0.83394,-3.03076
950,0.768967,-2.09201
951,0.830829,-2.99683
952,0.92814,-3.08374
953,0.890241,-3.06352
954,0.781562,-2.50871
955,0.804428,-2.49491
956,0.855966,-1.43123
957,0.795393,-2.50122
958,0.865231,-3.10545
959,0.907852,-2.12383
960,0.886845,-2.76461
961,0.819642,-2.39096
962,0.861433,-2.61436
963,0.883248,-3.30449
964,0.809967,-2.10318
965,0.817781,-1.56283
966,0.778229,-2.8153
967,0.851895,-2.23481
968,0.781505,-2.54626
969,0.83518,-2.91937
970,0.951004,-1.78101
971,0.838579,-3.03859
972,0.840176,-2.08262
973,0.884964,-2.86628
974,0.824349,-2.43482
975,0.8244,-2.82211
976,0.771701,-2.53034
977,0.832824,-2.65002
978,0.819839,-2.89
979,0.797122,-3.11734
980,0.783078,-2.51104
981,0.819497,-2.1336
982,0.804499,-2.37418
983,0.822908,-2.64255
984,0.80168,-1.96789
985,0.872025,-2.81442
986,0.867946,-3.67054
987,0.847567,-2.20983
988,0.939986,-2.28445
989,0.801032,-2.18644
990,0.835831,-2.87778
991,0.820773,-2.18568
992,0.928696,-3.58688
993,0.820391,-2.34507
994,0.788663,-1.90443
995,0.803472,-3.20702
996,0.822454,-2.22124
997,0.804707,-2.89294
998,0.921232,-3.45083
999,0.797236,-2.55979
