Step,AveragePressure,MuExcess
901,-0.0811399,-2.95103
902,-0.116341,-2.58855
903,-0.116056,-3.15463
904,-0.139378,-2.04897
905,-0.0445863,-2.29378
906,-0.00462327,-2.51979
907,0.0689281,-2.94408
908,0.0196394,-2.61122
909,-0.0489787,-2.65731
910,-0.00612671,-2.00082
911,0.000815454,-1.6535
912,-0.0521159,-3.20194
913,-0.0139132,-2.22096
914,-0.0244477,-2.72625
915,-0.0707199,-2.24312
916,-0.00986782,-1.63094
917,-0.0852512,-2.40816
918,0.0262257,-2.65554
919,0.0342817,-2.27223
920,-0.0660722,-3.00092
921,-0.0375759,-2.07924
922,-0.12962,-2.33204
923,-0.110799,-2.3587
924,0.0612109,-2.62089
925,-0.0566547,-2.78459
926,-0.120735,-1.78824
927,-0.081447,-2.76245
928,-0.0460635,-2.05462
929,-0.0750436,-2.56812
930,0.00604973,-1.87252
931,-0.0553381,-2.88674
932,-0.0951837,-1.98111
933,-0.126243,-2.58965
934,-0.09375,-2.49625
935,-0.0374998,-2.46722
936,-0.00818808,-2.33578
937,-0.0183495,-2.59838
938,-0.00564644,-2.8687
939,-0.0289856,-2.09134
940,-0.0670355,-2.57237
941,-0.0938705,-2.45119
942,-0.0964747,-3.29764
943,-0.0396547,-2.39962
944,-0.0930505,-2.12023
945,-0.0172287,-2.63695
946,0.000513903,-2.67366
947,-0.0422726,-3.73104
948,0.0826044,-2.52208
949,0.1282,-3.24048
950,0.249939,-2.20936
951,0.170536,-2.58434
952,0.113974,-2.38536
953,0.0521544,-2.31972
954,0.0701248,-3.37343
955,0.0114046,-2.31973
956,0.100245,-2.43702
957,0.131289,-2.48523
958,0.115243,-1.93803
959,-0.0852655,-2.75512
960,-0.12864,-1.81514
961,-0.092225,-2.42123
962,-0.117939,-2.90411
963,-0.0202852,-2.22901
964,-0.0576124,-3.36031
965,0.00922285,-2.59267
966,0.0378532,-2.50313
967,0.0124151,-2.98505
968,-0.0373937,-1.86198
969,-0.0960992,-2.56362
970,-0.106579,-2.72836
971,-0.0965411,-2.43579
972,-0.131625,-2.45593
973,-0.029648,-1.8886
974,-0.0225027,-2.63411
975,-0.0371971,-3.28499
976,-0.0509611,-2.26242
977,-0.0321787,-2.68937
978,0.013058,-2.26047
979,0.00717843,-2.35788
980,-0.0136478,-2.16461
981,0.0112933,-2.77368
982,0.000826268,-2.96249
983,0.0850422,-2.8375
984,0.0999649,-2.46221
985,0.0667531,-2.15939
986,-0.0847091,-2.20205
987,-0.0560717,-2.15986
988,-0.0753422,-2.4163
989,-0.0281427,-3.64856
990,0.0528884,-2.40542
991,0.0499827,-2.64157
992,0.144798,-2.00134
993,0.0756589,-2.67602
994,-0.0129507,-2.25099
995,0.0224245,-2.71505
996,-0.0466903,-2.89878
997,0.0174529,-2.70071
998,0.00106532,-2.72071
999,-0.0144395,-2.51519
