256
12
12
12
0.5 0.5 0.5 1
0.5 2 2 1
2 2 0.5 1
2 0.5 2 1
0.5 0.5 3.5 1
0.5 2 5 1
2 2 3.5 1
2 0.5 5 1
0.5 0.5 6.5 1
0.5 2 8 1
2 2 6.5 1
2 0.5 8 1
0.5 0.5 9.5 1
0.5 2 11 1
2 2 9.5 1
2 0.5 11 1
0.5 3.5 0.5 1
0.5 5 2 1
2 5 0.5 1
2 3.5 2 1
0.5 3.5 3.5 1
0.5 5 5 1
2 5 3.5 1
2 3.5 5 1
0.5 3.5 6.5 1
0.5 5 8 1
2 5 6.5 1
2 3.5 8 1
0.5 3.5 9.5 1
0.5 5 11 1
2 5 9.5 1
2 3.5 11 1
0.5 6.5 0.5 1
0.5 8 2 1
2 8 0.5 1
2 6.5 2 1
0.5 6.5 3.5 1
0.5 8 5 1
2 8 3.5 1
2 6.5 5 1
0.5 6.5 6.5 1
0.5 8 8 1
2 8 6.5 1
2 6.5 8 1
0.5 6.5 9.5 1
0.5 8 11 1
2 8 9.5 1
2 6.5 11 1
0.5 9.5 0.5 1
0.5 11 2 1
2 11 0.5 1
2 9.5 2 1
0.5 9.5 3.5 1
0.5 11 5 1
2 11 3.5 1
2 9.5 5 1
0.5 9.5 6.5 1
0.5 11 8 1
2 11 6.5 1
2 9.5 8 1
0.5 9.5 9.5 1
0.5 11 11 1
2 11 9.5 1
2 9.5 11 1
3.5 0.5 0.5 1
3.5 2 2 1
5 2 0.5 1
5 0.5 2 1
3.5 0.5 3.5 1
3.5 2 5 1
5 2 3.5 1
5 0.5 5 1
3.5 0.5 6.5 1
3.5 2 8 1
5 2 6.5 1
5 0.5 8 1
3.5 0.5 9.5 1
3.5 2 11 1
5 2 9.5 1
5 0.5 11 1
3.5 3.5 0.5 1
3.5 5 2 1
5 5 0.5 1
5 3.5 2 1
3.5 3.5 3.5 1
3.5 5 5 1
5 5 3.5 1
5 3.5 5 1
3.5 3.5 6.5 1
3.5 5 8 1
5 5 6.5 1
5 3.5 8 1
3.5 3.5 9.5 1
3.5 5 11 1
5 5 9.5 1
5 3.5 11 1
3.5 6.5 0.5 1
3.5 8 2 1
5 8 0.5 1
5 6.5 2 1
3.5 6.5 3.5 1
3.5 8 5 1
5 8 3.5 1
5 6.5 5 1
3.5 6.5 6.5 1
3.5 8 8 1
5 8 6.5 1
5 6.5 8 1
3.5 6.5 9.5 1
3.5 8 11 1
5 8 9.5 1
5 6.5 11 1
3.5 9.5 0.5 1
3.5 11 2 1
5 11 0.5 1
5 9.5 2 1
3.5 9.5 3.5 1
3.5 11 5 1
5 11 3.5 1
5 9.5 5 1
3.5 9.5 6.5 1
3.5 11 8 1
5 11 6.5 1
5 9.5 8 1
3.5 9.5 9.5 1
3.5 11 11 1
5 11 9.5 1
5 9.5 11 1
6.5 0.5 0.5 1
6.5 2 2 1
8 2 0.5 1
8 0.5 2 1
6.5 0.5 3.5 1
6.5 2 5 1
8 2 3.5 1
8 0.5 5 1
6.5 0.5 6.5 1
6.5 2 8 1
8 2 6.5 1
8 0.5 8 1
6.5 0.5 9.5 1
